Code_Politique_Dominante;Description_Politique_Dominante;Code_Secteur_Intervention;Description_Secteur_Intervention;Code_Sous_Secteur;Description_Sous_Secteur_Interv;Code_Programme;Description_Programme;Nature_Affect_Operation;Vsectsubv;Vmt_Bp
A-;ATTRACTIVITE ET RAYONNEMENT;A-01;Rayonnement architectural et urbain;;;P001;Rayonnement architectural et urbain;Depense;Fonctionnement;249050
A-;ATTRACTIVITE ET RAYONNEMENT;A-01;Rayonnement architectural et urbain;;;P001;Rayonnement architectural et urbain;Depense;Investissement;115000
A-;ATTRACTIVITE ET RAYONNEMENT;A-01;Rayonnement architectural et urbain;;;P001;Rayonnement architectural et urbain;Recette;Fonctionnement;25000
A-;ATTRACTIVITE ET RAYONNEMENT;A-01;Rayonnement architectural et urbain;;;P001;Rayonnement architectural et urbain;Recette;Investissement;0
A-;ATTRACTIVITE ET RAYONNEMENT;A-02;Patrimoine culturel;;;P002;Restauration des monuments historiques;Depense;Fonctionnement;0
A-;ATTRACTIVITE ET RAYONNEMENT;A-02;Patrimoine culturel;;;P002;Restauration des monuments historiques;Depense;Investissement;590000
A-;ATTRACTIVITE ET RAYONNEMENT;A-02;Patrimoine culturel;;;P002;Restauration des monuments historiques;Recette;Investissement;348800
A-;ATTRACTIVITE ET RAYONNEMENT;A-02;Patrimoine culturel;;;P003;Restauration des edifices patrimoniaux;Depense;Fonctionnement;0
A-;ATTRACTIVITE ET RAYONNEMENT;A-02;Patrimoine culturel;;;P003;Restauration des edifices patrimoniaux;Depense;Investissement;665000
A-;ATTRACTIVITE ET RAYONNEMENT;A-02;Patrimoine culturel;;;P003;Restauration des edifices patrimoniaux;Recette;Investissement;0
A-;ATTRACTIVITE ET RAYONNEMENT;A-02;Patrimoine culturel;;;P004;Mises en lumière;Depense;Fonctionnement;130000
A-;ATTRACTIVITE ET RAYONNEMENT;A-02;Patrimoine culturel;;;P004;Mises en lumière;Depense;Investissement;0
A-;ATTRACTIVITE ET RAYONNEMENT;A-02;Patrimoine culturel;;;P005;Animation du patrimoine;Depense;Fonctionnement;131200
A-;ATTRACTIVITE ET RAYONNEMENT;A-02;Patrimoine culturel;;;P005;Animation du patrimoine;Depense;Investissement;362000
A-;ATTRACTIVITE ET RAYONNEMENT;A-02;Patrimoine culturel;;;P005;Animation du patrimoine;Recette;Investissement;0
