code_politique_dominante;description_politique_dominante;code_secteur_intervention;description_secteur_intervention;code_sous_secteur;description_sous_secteur_interv;code_programme;description_programme;nature_affect_operation;vsectsubv;vmt_bp
A-;ATTRACTIVITE ET RAYONNEMENT;A-01;Rayonnement architectural et urbain;;;P001;Rayonnement architectural et urbain;Depense;Fonctionnement;773860
A-;ATTRACTIVITE ET RAYONNEMENT;A-01;Rayonnement architectural et urbain;;;P001;Rayonnement architectural et urbain;Depense;Investissement;15000
A-;ATTRACTIVITE ET RAYONNEMENT;A-01;Rayonnement architectural et urbain;;;P001;Rayonnement architectural et urbain;Recette;Fonctionnement;0
A-;ATTRACTIVITE ET RAYONNEMENT;A-01;Rayonnement architectural et urbain;;;P001;Rayonnement architectural et urbain;Recette;Investissement;0
A-;ATTRACTIVITE ET RAYONNEMENT;A-02;Patrimoine culturel;;;P002;Restauration des monuments historiques;Depense;Fonctionnement;0
A-;ATTRACTIVITE ET RAYONNEMENT;A-02;Patrimoine culturel;;;P002;Restauration des monuments historiques;Depense;Investissement;505000
A-;ATTRACTIVITE ET RAYONNEMENT;A-02;Patrimoine culturel;;;P002;Restauration des monuments historiques;Recette;Investissement;0
A-;ATTRACTIVITE ET RAYONNEMENT;A-02;Patrimoine culturel;;;P003;Restauration des edifices patrimoniaux;Depense;Fonctionnement;0
A-;ATTRACTIVITE ET RAYONNEMENT;A-02;Patrimoine culturel;;;P003;Restauration des edifices patrimoniaux;Depense;Investissement;315000
A-;ATTRACTIVITE ET RAYONNEMENT;A-02;Patrimoine culturel;;;P003;Restauration des edifices patrimoniaux;Recette;Investissement;0
A-;ATTRACTIVITE ET RAYONNEMENT;A-02;Patrimoine culturel;;;P004;Mises en lumière;Depense;Fonctionnement;120000
A-;ATTRACTIVITE ET RAYONNEMENT;A-02;Patrimoine culturel;;;P004;Mises en lumière;Depense;Investissement;0
A-;ATTRACTIVITE ET RAYONNEMENT;A-02;Patrimoine culturel;;;P005;Animation du patrimoine;Depense;Fonctionnement;125000
A-;ATTRACTIVITE ET RAYONNEMENT;A-02;Patrimoine culturel;;;P005;Animation du patrimoine;Depense;Investissement;283000
A-;ATTRACTIVITE ET RAYONNEMENT;A-02;Patrimoine culturel;;;P005;Animation du patrimoine;Recette;Fonctionnement;0
A-;ATTRACTIVITE ET RAYONNEMENT;A-02;Patrimoine culturel;;;P005;Animation du patrimoine;Recette;Investissement;0
A-;ATTRACTIVITE ET RAYONNEMENT;A-03;Relations internationales;;;P006;Relations internationales;Depense;Fonctionnement;410000
A-;ATTRACTIVITE ET RAYONNEMENT;A-03;Relations internationales;;;P006;Relations internationales;Depense;Subventions;151400
A-;ATTRACTIVITE ET RAYONNEMENT;A-03;Relations internationales;;;P006;Relations internationales;Recette;Fonctionnement;20000
A-;ATTRACTIVITE ET RAYONNEMENT;A-04;Tourisme;;;P007;Equipements fluviaux;Depense;Fonctionnement;17000
A-;ATTRACTIVITE ET RAYONNEMENT;A-04;Tourisme;;;P007;Equipements fluviaux;Depense;Investissement;0
A-;ATTRACTIVITE ET RAYONNEMENT;A-04;Tourisme;;;P007;Equipements fluviaux;Recette;Fonctionnement;0
A-;ATTRACTIVITE ET RAYONNEMENT;A-04;Tourisme;;;P007;Equipements fluviaux;Recette;Investissement;0
A-;ATTRACTIVITE ET RAYONNEMENT;A-04;Tourisme;;;P008;Tourisme urbain;Depense;Fonctionnement;18600
