entityid;code_politique_dominante;description_politique_dominante;code_secteur_intervention;description_secteur_intervention;code_sous_secteur;description_sous_secteur_interv;code_programme;description_programme;nature_affect_operation;vsectsubv;vmt_bp
03022c3d-942c-49a0-8d64-69a342fc8a16;D-;QUALITE DES ESPACES PUBLICS DE PROXIMITE;D-02;Gestion de la voie publique;;;P041;Stationnement et circulation;Depense;Investissement;400000
04811fe6-3305-4b16-8f03-20a4f573557d;J-;PERFORMANCE DE LA COLLECTIVITE;J-04;Strategie et gestion immo.;;;P107;Gestion immobilière assujettie;Recette;Investissement;0
04ede331-6592-4fac-be0a-4068573712d1;C-;DEVELOPPEMENT URBAIN DURABLE;C-02;Amenagement urbain;;;P140;Amenagement Brazza Nord;Depense;Investissement;0
05660005-5d6a-43e5-a90d-b13b3f7f3b72;J-;PERFORMANCE DE LA COLLECTIVITE;J-05;Logistique et exploitation;;;P112;Logistique;Depense;Subventions;15000
0583dae4-8cb5-42ac-9ea3-6897ae82ea70;J-;PERFORMANCE DE LA COLLECTIVITE;J-05;Logistique et exploitation;;;P144;Gestion des equipements DGST;Depense;Fonctionnement;163900
05fd5e3d-626c-4c35-8a9e-e3f3021b630b;C-;DEVELOPPEMENT URBAIN DURABLE;C-04;Vie et depl. dans les esp.urb.;;;P034;Amenagement des espaces de circulation;Recette;Fonctionnement;40000
06947ba6-894c-41fc-b3a2-d77d5d309427;A-;ATTRACTIVITE ET RAYONNEMENT;A-04;Tourisme;;;P007;Equipements fluviaux;Depense;Fonctionnement;14470
07576955-929e-4784-8630-62f3cbe9f45b;F-;DEVELOPPEMENT SPORTIF;F-03;Sports educatif et loisirs;F-0302;Construction et gestion des equipements;P060;Gestion salles et stades;Recette;Investissement;0
07c65cc6-08dd-4772-8ba3-d3e77ca43c2d;G-;Vie en societe;G-03;Jeunesse;;;P071;Engagement et participations des jeunes;Depense;Fonctionnement;23500
085e26eb-34b9-4ec6-ab25-53fe8f1c6ebf;J-;PERFORMANCE DE LA COLLECTIVITE;J-01;Gestion dev. Ress. humaines;;;P096;Restauration du personnel assujettie;Depense;Investissement;0
088f6e2f-a57a-4f95-bfe8-2eb663750f4a;I-;PILOTAGE STRATEGIQUE DE LA COLLECTIVITE;I-03;Pilotage strategique et eval.;;;P090;Evaluation et performance;Depense;Fonctionnement;10000
093ed331-19d9-4860-bb6c-b862d8bbadef;J-;PERFORMANCE DE LA COLLECTIVITE;J-04;Strategie et gestion immo.;;;P107;Gestion immobilière assujettie;Depense;Fonctionnement;0
09b76006-8459-4e6a-af9e-216c9f01146e;A-;ATTRACTIVITE ET RAYONNEMENT;A-02;Patrimoine culturel;;;P003;Restauration des edifices patrimoniaux;Depense;Fonctionnement;30000
0a6a2736-a062-4be6-bc8e-9df6de43babe;A-;ATTRACTIVITE ET RAYONNEMENT;A-04;Tourisme;;;P126;Cite des civilisations du vin;Depense;Fonctionnement;0
0a742920-cbfb-4ab3-ae21-c02f5f1d99b5;C-;DEVELOPPEMENT URBAIN DURABLE;C-06;Paysages et patrimoine urbains;;;P037;Paysages urbains;Recette;Investissement;2287651
0adefab7-3e38-4664-a853-b51b64964a0f;C-;DEVELOPPEMENT URBAIN DURABLE;C-01;Dev. eco, emploi et ens. sup.;;;P026;Emploi;Recette;Fonctionnement;0
0b717ba1-72e0-450a-8ae7-073027141cf4;G-;Vie en societe;G-04;Developpement social terr.;;;P072;Accompagnement des projets de quartier;Recette;Fonctionnement;138550
0ca21977-de87-4108-9961-9170f9fd15d2;E-;PREVENTION DES RISQUES ET TRANQUILLITE;E-02;Prevention des risques;;;P048;Prevention Sante Environnement Securite;Depense;Investissement;38000
0d65f0cd-8085-40c4-99ce-d561ae0ceb48;A-;ATTRACTIVITE ET RAYONNEMENT;A-04;Tourisme;;;P130;Equipements fluviaux (TVA);Depense;Fonctionnement;0
0e2629ab-fa4f-4248-8364-55ef61bd7abb;C-;DEVELOPPEMENT URBAIN DURABLE;C-01;Dev. eco, emploi et ens. sup.;;;P024;Commerce et artisanat;Depense;Investissement;0
0e738a13-5300-4579-866a-09e30bd505ce;F-;DEVELOPPEMENT SPORTIF;F-01;Equipements sportifs struct.;F-0101;Equipements structurants delegues;P050;DSP Golf Bordeaux Lac;Recette;Fonctionnement;0
0efdf825-0134-4430-a807-45e703bd9b9e;H-;VIE DEMOCRATIQUE;H-03;Accueil et citoyennete;;;P084;Services à la population;Depense;Investissement;0
116afec4-02dd-42db-805d-ee1d49c4f896;I-;PILOTAGE STRATEGIQUE DE LA COLLECTIVITE;I-04;Communication externe;;;P091;Communication externe;Depense;Fonctionnement;1300000
13677db0-9321-4cec-ab71-bdcc8b218b72;C-;DEVELOPPEMENT URBAIN DURABLE;C-02;Amenagement urbain;;;P029;Amenagement;Recette;Fonctionnement;0
141c2b54-b1f7-4749-9a63-b29c6e78f438;D-;QUALITE DES ESPACES PUBLICS DE PROXIMITE;D-03;Gestion maintien patrim. vert;;;P045;Proximite et animation;Recette;Investissement;0
