THEME;STHEME;NOM;NOMMAJ;IDENT;ADRESSE;INFOCOMP;LIEN;X_LONG;Y_LAT
cultures sorties;Musées;Musée des Arts Décoratifs;MUSEE DES ARTS DECORATIFS;596;39 rue Bouffard, 33000 Bordeaux;;;-0,57996033094378;44,838898803286
cultures sorties;Musées;Musée national des Douanes;MUSEE NATIONAL DES DOUANES;598;1 pce de La Bourse, 33000 Bordeaux;;;-0,569788222488411;44,8410008174732
cultures sorties;Musées;Entrepôt Lainé - CAPC Musée d'art contemporain;ENTREPOT LAINE - CAPC MUSEE D'ART CONTEMPORAIN;599;7 rue Ferrère, 33000 Bordeaux;;;-0,572176541509934;44,8485675572329
cultures sorties;Congrès Expositions;Base sous-marine;BASE SOUS MARINE;602;bd Alfred Daney, 33300 Bordeaux;;;-0,558433976876994;44,8703967587519
cultures sorties;Musées;Galerie des Beaux-Arts;GALERIE DES BEAUX ARTS;603;pce Colonel Raynal, 33000 Bordeaux;;;-0,581915029222318;44,8387594432029
cultures sorties;Musées;Centre Jean Moulin;CENTRE JEAN MOULIN;606;pce Jean Moulin, 33000 Bordeaux;;;-0,577659972638739;44,8387046699165
cultures sorties;Bibliothèques;Relais-lecture Lire à Tauzin ;RELAIS-LECTURE LIRE A TAUZIN;607;50 rue du Tauzin, 33000 Bordeaux;;;-0,601916530460525;44,8204597507053
cultures sorties;Musées;FRAC d'aquitaine;FRAC D  AQUITAINE;608;quai Armand Lalande, 33300 Bordeaux;;;-0,554443847215953;44,8616542775781
cultures sorties;Musées;Musée des Beaux Arts;MUSEE DES BEAUX ARTS;609;20 crs d'Albret, 33000 Bordeaux;;;-0,581121228129668;44,8380681162253
cultures sorties;Musées;Musée Goupil;MUSEE GOUPIL;610;20 crs Pasteur, 33000 Bordeaux;;http://www.musee-aquitaine-bordeaux.fr/fr/collection-goupil;-0,574875113282499;44,8358933739582
cultures sorties;Bibliothèques;Bibliothèque Flora Tristan;BIBLIOTHEQUE FLORA TRISTAN;611;1 place d'Armagnac, 33800 Bordeaux;;;-0,550625445847239;44,8213797840793
cultures sorties;Musées;Musée d'Aquitaine;MUSEE D  AQUITAINE;612;20  Pasteur, 33000 Bordeaux;;;-0,574699622324933;44,8356726794755
cultures sorties;Musées;Muséum d'Histoire naturelle - Hôtel de Lisleferme;MUSEUM D  HISTOIRE NATURELLE   HOTEL DE LISLEFERME;613;5 pce Bardineau, 33000 Bordeaux;;;-0,58014188430362;44,8483849727316
cultures sorties;Bibliothèques;Bibliothèque mobile - Parc bordelais;BIBLIOTHEQUE MOBILE - PARC BORDELAIS;614;Quartier Caudéran nord et sud, 33200 Bordeaux;;;-0,599436738123866;44,8525071197929
cultures sorties;Bibliothèques;Bibliothèque Capucins - St Michel;BIBLIOTHEQUE CAPUCINS   ST MICHEL;615;10-12 pce des Capucins, 33800 Bordeaux;;;-0,566984052726453;44,830905196305
cultures sorties;Bibliothèques;Bibliothèque mobile - Place Nansouty;BIBLIOTHEQUE MOBILE - PLACE NANSOUTY;617;Quartier Saint Genès/Nansouty, 33800 Bordeaux;;;-0,572126362383552;44,8203036713662
cultures sorties;Bibliothèques;Bibliothèque mobile - Place Paul Doumer;BIBLIOTHEQUE MOBILE - PLACE PAUL DOUMER;618;Quartier Chartrons / Saint-Martial, 33000 Bordeaux;;;-0,5741436730258;44,8517946118373
cultures sorties;Bibliothèques;Bibliothèque de Bordeaux Lac;BIBLIOTHEQUE DE BORDEAUX LAC;619;pce Ginette Neveu, 33300 Bordeaux;;;-0,572946079890182;44,8737245426519
cultures sorties;Bibliothèques;Bibliothèque du Jardin Public;BIBLIOTHEQUE DU JARDIN PUBLIC;620;pce Bardineau Terrasse du jardin public, 33000 Bordeaux;;;-0,580188512277851;44,8480506307819
cultures sorties;Bibliothèques;Bibliothèque mobile - Avenue Bel Air;BIBLIOTHEQUE MOBILE - AVENUE BEL AIR;621;Quartier Caudéran nord et sud, 33200 Bordeaux;;;-0,607625311199981;44,8406762867447
cultures sorties;Bibliothèques;Bibliothèque mobile - Cours Saint Louis;BIBLIOTHEQUE MOBILE   COURS SAINT LOUIS;622;155 crs Saint Louis, 33300 Bordeaux;;;-0,5673465263622;44,8629609175212
cultures sorties;Bibliothèques;Bibliothèque mobile - Marché Stéhelin;BIBLIOTHEQUE MOBILE - MARCHE STEHELIN;624;Quartier Caudéran nord et sud, 33200 Bordeaux;;;-0,623131734815062;44,8579358015084
cultures sorties;Bibliothèques;Bibliothèque de la Bastide;BIBLIOTHEQUE DE LA BASTIDE;625;18-22 rue Alexander Fleming, 33100 Bordeaux;;;-0,542171497551466;44,8432943383881
cultures sorties;Offices de tourisme;Office du Tourisme de Bordeaux;OFFICE DU TOURISME DE BORDEAUX;626;12 crs du 30 juillet, 33000 Bordeaux;;;-0,574198848341553;44,843672274326
cultures sorties;Bibliothèques;Bibliothèque de Bacalan;BIBLIOTHEQUE DE BACALAN;627;196 rue Achard, 33300 Bordeaux;;;-0,546221452408897;44,8718182045595
cultures sorties;Bibliothèques;Bibliothèque du Grand Parc;BIBLIOTHEQUE DU GRAND PARC;628;34 rue Pierre Trébod, 33300 Bordeaux;;;-0,583974556940011;44,8578126490484
