THEME;STHEME;NOM;NOMMAJ;IDENT;ADRESSE;INFOCOMP;LIEN;X_LONG;Y_LAT
éducation;Ecoles primaires publiques;Ecole Elémentaire Montaud;ECOLE ELEMENTAIRE MONTAUD;80;1 pce Montaud, 33100 Bordeaux;;;-0,55447793065199;44,8413305452594
éducation;Ecoles primaires publiques;Ecole Elémentaire Cazemajor;ECOLE ELEMENTAIRE CAZEMAJOR;81;52 rue Cazemajor, 33800 Bordeaux;;;-0,569335285909121;44,8242278061674
éducation;Ecoles primaires publiques;Ecole Maternelle Beck;ECOLE MATERNELLE BECK;82;17 pce Ferdinand Buisson, 33800 Bordeaux;;;-0,550965680035777;44,8237515977361
éducation;Enseignement artistique;Conservatoire Jacques Thibaud;CONSERVATOIRE JACQUES THIBAUD;83;22 quai Sainte Croix, 33800 Bordeaux;;;-0,559761449556435;44,8314735336634
éducation;Ecoles primaires publiques;Ecole Elémentaire Henri IV;ECOLE ELEMENTAIRE HENRI IV;84;12 rue de la Miséricorde, 33000 Bordeaux;;;-0,576114758488725;44,8325755048473
éducation;Ecoles primaires privées;Ecole maternelle et élémentaire Bon Pasteur;ECOLE MATERNELLE ET ELEMENTAIRE BON PASTEUR;85;5 rue de l'Ecole Normale, 33200 Bordeaux;;;-0,599040567518977;44,8470694184455
éducation;Ecoles primaires publiques;Ecole Elémentaire Menuts;ECOLE ELEMENTAIRE MENUTS;86;57 rue des Menuts, 33000 Bordeaux;;;-0,567490180592419;44,8329455111254
éducation;Ecoles primaires publiques;Ecole Maternelle Paix;ECOLE MATERNELLE PAIX;87;4 rue Marc Sangnier, 33000 Bordeaux;;;-0,588591298327565;44,8437053413673
éducation;Ecoles primaires publiques;Ecole Maternelle Stéhélin;ECOLE MATERNELLE STEHELIN;88;rue Domion, 33200 Bordeaux;;;-0,624373496904539;44,8569860920593
éducation;Ecoles primaires publiques;Ecole Maternelle Saint André;ECOLE MATERNELLE SAINT ANDRE;90;rue Masson, 33200 Bordeaux;;;-0,615633968715867;44,8548952814368
éducation;Ecoles primaires publiques;Ecole Elémentaire Lac II;ECOLE ELEMENTAIRE LAC II;91;rue Petit Miot, 33300 Bordeaux;;;-0,569845322686287;44,8727399534919
éducation;Ecoles primaires publiques;Ecole Elémentaire Benauge;ECOLE ELEMENTAIRE BENAUGE;94;bd Jules Simon, 33100 Bordeaux;;;-0,545467003619194;44,8462197201296
éducation;Ecoles primaires publiques;Ecole Maternelle Menuts;ECOLE MATERNELLE MENUTS;95;70 rue des Menuts, 33000 Bordeaux;;;-0,567331973751481;44,8333276731152
éducation;Ecoles primaires publiques;Ecole Elémentaire Stendhal;ECOLE ELEMENTAIRE STENDHAL;96;13 all Stendhal, 33300 Bordeaux;;;-0,568400274399978;44,8563882628963
éducation;Ecoles primaires publiques;Ecole Maternelle Lac III;ECOLE MATERNELLE LAC III;97;rue Robert Caumont, 33300 Bordeaux;;;-0,574897231231871;44,8750171172332
éducation;Ecoles primaires publiques;Ecole Maternelle Condorcet;ECOLE MATERNELLE CONDORCET;98;rue Condorcet, 33300 Bordeaux;;;-0,580072929574423;44,8589399488308
éducation;Ecoles primaires publiques;Ecole Elémentaire Francin;ECOLE ELEMENTAIRE FRANCIN;99;64 rue Francin, 33800 Bordeaux;;;-0,561373638615043;44,8244186420298
éducation;Ecoles primaires publiques;Ecole Elémentaire Saint Bruno;ECOLE ELEMENTAIRE SAINT BRUNO;101;pce du XI Novembre, 33000 Bordeaux;;;-0,589521498186354;44,8385131980181
éducation;Ecoles primaires publiques;Ecole Elémentaire Jean Monnet;ECOLE ELEMENTAIRE JEAN MONNET;103;rue du Jonc, 33300 Bordeaux;;;-0,574501622153541;44,872920047126
éducation;Ecoles primaires publiques;Ecole Maternelle Stendhal;ECOLE MATERNELLE STENDHAL;104;15 all Stendhal, 33300 Bordeaux;;;-0,56800623302867;44,8561010120436
éducation;Ecoles primaires publiques;Ecole Elémentaire Sousa Mendes;ECOLE ELEMENTAIRE SOUSA MENDES;105;13 rue Aristide Sousa Mendès, 33300 Bordeaux;;;-0,570973806595309;44,8638512927303
