THEME;STHEME;NOM;NOMMAJ;IDENT;ADRESSE;INFOCOMP;LIEN;X_LONG;Y_LAT
petite enfance;Accueil municipal;Multi accueil Armand Faulat 1;MULTI ACCUEIL ARMAND FAULAT 1;172;1 rue Bahr, 33200 Bordeaux;;;-0,613455391671063;44,846333450757
petite enfance;Accueil municipal;Multi accueil Claveau;MULTI ACCUEIL CLAVEAU;173;135 rue Joseph Brunet, 33300 Bordeaux;;;-0,543447701590002;44,8795228781871
petite enfance;Centres de loisirs;Le Jardin de l'Eau Vive;LAEP APEEF - LE JARDIN DE L EAU VIVE;175;5 rue DU NOVICIAT, 33000 Bordeaux;;;-0,562757035634496;44,8310835971023
petite enfance;Accueil municipal;Multi accueil Magendie;MULTI ACCUEIL MAGENDIE;176;45 rue Magendie, 33000 Bordeaux;;;-0,575184079991564;44,8334543745651
petite enfance;Accueil municipal;Multi accueil Carreire;MULTI ACCUEIL CARREIRE;177;23 rue Camille Saint Saëns, 33000 Bordeaux;;;-0,609184789028589;44,8238496375736
petite enfance;Accueil associatif;Multi accueil Pitchoun Gambetta;MULTI ACCUEIL PITCHOUN GAMBETTA;178;54 pce Gambetta, 33000 Bordeaux;;;-0,581357989965014;44,8412947664553
petite enfance;Accueil associatif;Multi accueil Pitchoun Caudéran;MULTI ACCUEIL PITCHOUN CAUDERAN;179;152 ave Charles de Gaulle, 33200 Bordeaux;;;-0,605044102677771;44,8499784370585
petite enfance;Accueil municipal;Multi accueil Ornano;MULTI ACCUEIL ORNANO;180;300 rue Ornano, 33000 Bordeaux;;;-0,597625407422127;44,8315273908437
petite enfance;Autour de l'enfance;LAEP APEEF -  La Maison des enfants;LAEP APEEF    LA MAISON DES ENFANTS;182;64 rue Magendie, 33000 Bordeaux;;;-0,576382185307366;44,8331180443766
petite enfance;Accueil associatif;Multi accueil APEEF Maison des enfants;MULTI ACCUEIL APEEF MAISON DES ENFANTS;183;64 rue Magendie, 33000 Bordeaux;;;-0,576506205406451;44,8331283367483
petite enfance;Accueil associatif;Multi accueil La maison soleil;MULTI ACCUEIL LA MAISON SOLEIL;184;30 rue de Châteauneuf, 33100 Bordeaux;;;-0,552134329415273;44,8415421836205
petite enfance;Accueil municipal;Multi accueil des Douves 2;MULTI ACCUEIL DES DOUVES 2;185;61 rue Des Douves, 33800 Bordeaux;;;-0,563568819937014;44,8299103691226
petite enfance;Autour de l'enfance;La parentèle;LA PARENTELE;186;2 rue Courpon, 33000 Bordeaux;;;-0,589183257871198;44,8374032329169
petite enfance;Accueil municipal;Multi accueil Grand Parc 2;MULTI ACCUEIL GRAND PARC 2;222;37 rue Louis Geandreau, 33300 Bordeaux;;;-0,583477809196919;44,8589260886981
petite enfance;Autour de l'enfance;Relais Assistance Maternelle Bordeaux centre (RAM);RELAIS ASSISTANCE MATERNELLE BORDEAUX CENTRE (RAM);225;15 rue du Docteur Albert Barraud, 33000 Bordeaux;;;-0,586867450948258;44,8444152648642
petite enfance;Accueil municipal;Multi accueil Arc en ciel;MULTI ACCUEIL ARC EN CIEL    ;226;allée Résidence du Lac, bât KB1, Appt 951 bis, 33300 Bordeaux;;;-0,573263561362849;44,8747610659111
petite enfance;Accueil municipal;Multi accueil Haussmann;MULTI ACCUEIL HAUSSMANN    ;227;181 crs du Médoc, 33300 Bordeaux;;;-0,573483717789341;44,8641663722355
petite enfance;Accueil municipal;Multi accueil Gaspard Philippe;MULTI ACCUEIL GASPARD PHILIPPE;228;11 rue Gaspard Philippe, 33800 Bordeaux;;;-0,566661075573347;44,8335786365293
petite enfance;Autour de l'enfance;Relais Assistante Maternelle Bordeaux Bastide (RAM);RELAIS ASSISTANTE MATERNELLE BORDEAUX BASTIDE (RAM);229;37 all Jean Giono, 33100 Bordeaux;;;-0,56131739057073;44,8450132621432
petite enfance;Accueil associatif;Multi accueil Coucou;MULTI ACCUEIL COUCOU    ;230;4 rue François Daunes, 33000 Bordeaux;;;-0,602141313129211;44,8335107800426
petite enfance;Accueil associatif;Multi accueil Manon Cormier;MULTI ACCUEIL MANON CORMIER;231;144 rue Manon Cormier, 33000 Bordeaux;;;-0,593738481581731;44,8299691148406
petite enfance;Accueil associatif;Multi accueil La Coccinelle;MULTI ACCUEIL LA COCCINELLE;232;502 ave Maréchal de Lattre de Tassigny, 33200 Bordeaux;;;-0,635514742954322;44,8601564583436
petite enfance;Accueil associatif;Multi accueil - L'escale des bambins;MULTI ACCUEIL - L'ESCALE DES BAMBINS;233;30 rue Sainte Cécile, 33000 Bordeaux;;;-0,585127111957575;44,8310693941893
petite enfance;Accueil associatif;Multi accueil Nuage bleu;MULTI ACCUEIL NUAGE BLEU;234;3 rue Samuel Kirsz Résidence Québec, appt 002, 33300 Bordeaux;;;-0,569677331412132;44,8639715708016
