THEME;STHEME;NOM;NOMMAJ;IDENT;ADRESSE;INFOCOMP;LIEN;X_LONG;Y_LAT
services;Services municipaux;Boite à lire Charles de Gaulle;BOITE A LIRE CHARLES DE GAULLE;303;ESPLANADE CHARLES DE GAULLE, 33000 Bordeaux;;;-0,585049695541402;44,8371585218766
services;Services municipaux;Chartreuse Saint-André;CHARTREUSE SAINT ANDRE;304;ave du Maréchal De Lattre de Tassigny, 33200 Bordeaux;;;-0,615155400111274;44,8551956416444
services;Services municipaux;Direction de l'Education et de la Famille;DIRECTION DE L  EDUCATION ET DE LA FAMILLE;305;11 rue Père Louis de Jabrun, 33000 Bordeaux;;;-0,576607851283129;44,8394335307844
services;Services municipaux;Salle municipale Saint Augustin;SALLE MUNICIPALE SAINT AUGUSTIN;306;pce de l'Eglise Saint Augustin, 33000 Bordeaux;;;-0,610431648956764;44,832534389868
services;Services municipaux;Salle du conseil municipal;SALLE DU CONSEIL MUNICIPAL;309;Rue Montbazon, 33000 Bordeaux;;;-0,579328082777599;44,8384014894585
services;Services municipaux;Direction du Developpement Economique;DIRECTION DU DEVELOPPEMENT ECONOMIQUE;310;4  Elisée Reclus, 33000 Bordeaux;;;-0,579259003121565;44,8372686614414
services;Marchés;Marché biologique Saint Amand;MARCHE BIOLOGIQUE SAINT AMAND;311;place des Martyrs de la Résistance, 33200 Bordeaux;;;-0,614530320324729;44,8517279930712
services;Marchés;Marché d'Intérêt National de Brienne;MARCHE D  INTERET NATIONAL DE BRIENNE;313;quai de Paludate, 33800 Bordeaux;;;-0,547844413135479;44,8233162587839
services;Services municipaux;Centre Communal d'Action Sociale;CENTRE COMMUNAL D  ACTION SOCIALE;316;74 allée Saint Louis, 33300 Bordeaux;;;-0,569017648592563;44,8586238603121
services;Services municipaux;Salle du Point du jour - Pierre Tachou;SALLE DU POINT DU JOUR   PIERRE TACHOU;317;rue Joseph Brunet, 33300 Bordeaux;;;-0,54425035861305;44,8773058652869
services;Services municipaux;Mairie de quartier Bastide;MAIRIE DE QUARTIER BASTIDE;322;38 rue de Nuits, 33100 Bordeaux;;;-0,553154204605407;44,8419699344399
services;Services municipaux;Mairie de quartier Bordeaux maritime;MAIRIE DE QUARTIER BORDEAUX MARITIME;325;196 rue Achard, 33300 Bordeaux;;;-0,546072471224482;44,8731635522534
services;Services municipaux;Pôle Senior;POLE SENIOR;258;11  Père Louis de Jabrun, 33000 Bordeaux;;;-0,576667471050264;44,8393599928234
services;Marchés;Marché de producteurs Saint Seurin ;MARCHE DE PRODUCTEURS SAINT SEURIN;260;place des martyrs de la Résistance, 33000 Bordeaux;;;-0,585427373479835;44,8427779571766
services;Marchés;Marché du pont Saint Emilion;MARCHE DU PONT SAINT EMILION;261;pont Saint Emilion, 33100 Bordeaux;;;-0,538569945864039;44,8535266171796
services;Marchés;Marché des Pins Francs;MARCHE DES PINS FRANCS;262;pce Eugene Gauthier, 33200 Bordeaux;;;-0,623372658370374;44,857723071085
services;Services municipaux;Hôtel de Ville - Mairie de Bordeaux;HOTEL DE VILLE   MAIRIE DE BORDEAUX;263;pce Pey Berland, 33000 Bordeaux;;;-0,578967101232711;44,8380143922047
services;Services municipaux;Direction de l'hygiène et de la santé;DIRECTION DE L  HYGIENE ET DE LA SANTE;264;3 pce Rohan, 33000 Bordeaux;;;-0,579068066239043;44,837246462191
services;Marchés;Marché Grand déballage de brocante;MARCHE GRAND DEBALLAGE DE BROCANTE;268;pce Canteloup et Meynard, 33000 Bordeaux;;;-0,566037588447421;44,8345307555752
services;Marchés;Marché Brocante;MARCHE BROCANTE;269;pce Canteloup et Meynard, 33000 Bordeaux;;;-0,565859905629018;44,8342650811066
services;Services municipaux;Boite à lire Dames de la foi;BOITE A LIRE DAMES DE LA FOI;270;rue Saint Genès, 33000 Bordeaux;;;-0,580817035337291;44,826631010018
services;Marchés;Marché du soir;MARCHE DU SOIR;271;all Serr, 33100 Bordeaux;;;-0,559684736921922;44,8427130084219
services;Services municipaux;Espace Malbec;ESPACE MALBEC;274;250 rue Malbec, 33800 Bordeaux;;;-0,571581993668337;44,8205514852391
services;Marchés;Marché des Quais;MARCHE DES QUAIS;278;quai des Chartrons, 33000 Bordeaux;;;-0,569266102530499;44,8503695673889
services;Services municipaux;La Maison du vélo;LA MAISON DU VELO;279;69  Pasteur, 33000 Bordeaux;;;-0,573727654083752;44,832158371451
services;Marchés;Marché des Grands Hommes;MARCHE DES GRANDS HOMMES;280;place des Grands Hommes, 33000 Bordeaux;;;-0,577574635672463;44,8430920144003
services;Services municipaux;Direction de la voie publique;DIRECTION DE LA VOIE PUBLIQUE;281;17 pce Pey Berland, 33000 Bordeaux;;;-0,576054148144555;44,8379707387084
services;Services municipaux;Salle Amédée Larrieu;SALLE AMEDEE LARRIEU;282;pce Amédée Larrieu, 33000 Bordeaux;;;-0,581523403135147;44,8303951011265
services;Services municipaux;Maison cantonale;MAISON CANTONALE;284;rue de Châteauneuf, 33100 Bordeaux;;;-0,552826291856799;44,8415226462949
services;Marchés;Marché Royal;MARCHE ROYAL;286;place Canteloup et Meynard, 33000 Bordeaux;;;-0,566428060381344;44,8344939399031
services;Services municipaux;Mairie de quartier Caudéran;MAIRIE DE QUARTIER CAUDERAN;287;130 ave Louis Barthou, 33200 Bordeaux;;;-0,615539437301113;44,8522683486889
services;Services municipaux;Objets trouvés;OBJETS TROUVES;288;99  Abbé de l'épée, 33000 Bordeaux;;;-0,583850275277527;44,8445725333847
services;Services municipaux;Médiateur municipal;MEDIATEUR MUNICIPAL;289;14  Lecocq, 33000 Bordeaux;;;-0,581695281883485;44,8358745334539
services;Marchés;Marché du Grand-Parc;MARCHE DU GRAND PARC;290;pce de l'Europe, 33300 Bordeaux;;;-0,581018500059903;44,8595105258144
services;Services municipaux;Salle Bel Orme;SALLE BEL ORME;291;rue de Bel Orme, 33000 Bordeaux;;;-0,594864573622442;44,8489222194278
services;Services municipaux;Direction de la Jeunesse et des Sports;DIRECTION DE LA JEUNESSE ET DES SPORTS;330;11 rue Père Louis de Jabrun, 33000 Bordeaux;;;-0,576708971490915;44,8394309834071
services;Services municipaux;Salle Quintin Loucheur;SALLE QUINTIN LOUCHEUR;332;rue de la Béchade, 33000 Bordeaux;;;-0,599776772003479;44,8238625549885
services;Services municipaux;Mairie de quartier Centre;MAIRIE DE QUARTIER CENTRE;333;19 rue Père Louis de Jabrun, 33000 Bordeaux;;;-0,576473963962176;44,8391722475163
services;Services municipaux;Mairie de quartier Grand Parc - Paul Doumer / Salle du Grand Parc;MAIRIE DE QUARTIER GRAND PARC   PAUL DOUMER / SALLE DU GRAND PARC;335;pce de l'Europe, 33300 Bordeaux;;;-0,581662512278139;44,8588278248397
services;Marchés;Point ambulant René Maran;POINT AMBULANT RENE MARAN;1053;place René Maran, 33300 Bordeaux;;;-0,552922832865945;44,8755181833746
services;Services municipaux;Boite à lire Martyrs de la Résistance;BOITE A LIRE MARTYRS DE LA RESISTANCE;350;pce des Martyrs de la Résistance, 33000 Bordeaux;;;-0,584135504363048;44,8419180010666
services;Services municipaux;Mairie de quartier St Augustin - Tauzin - Alphonse Dupeux;MAIRIE DE QUARTIER ST AUGUSTIN - TAUZIN - ALPHONSE DUPEUX;352;2 rue de Cantenac, 33000 Bordeaux;;;-0,61116565826689;44,8330379505253
services;Services municipaux;Boite à lire Simiot;BOITE A LIRE SIMIOT;239;pce Simiot, 33800 Bordeaux;;;-0,577601923582269;44,8230472358663
services;Marchés;Marché Pey-Berland;MARCHE PEY BERLAND;240;place Pey Berland, 33000 Bordeaux;;;-0,576755706239224;44,837827003262
services;Services municipaux;Archives Bordeaux Métropole;ARCHIVES BORDEAUX METROPOLE;241;71 parvis des archives, 33000 Bordeaux;;;-0,553711292430094;44,8470277999255
services;Services municipaux;Boite à lire Linné;BOITE A LIRE LINNE;242;ESPLANADE LINNE, 33100 Bordeaux;;;-0,558928994964873;44,8445778389579
services;Marchés;Marché des bouquinistes;MARCHE DES BOUQUINISTES;243;place des Grands Hommes, 33000 Bordeaux;;;-0,577537713666743;44,8428588278169
services;Services municipaux;Salle Son Tay;SALLE SON TAY;244;47 rue de Son Tay, 33800 Bordeaux;;;-0,551785991648534;44,8249917317115
