THEME;STHEME;NOM;NOMMAJ;IDENT;ADRESSE;INFOCOMP;LIEN;X_LONG;Y_LAT
santé social;Foyers;Club senior Nuits;CLUB SENIOR NUITS;355;51 rue Nuits, 33100 Bordeaux;;;-0,552446916858348;44,841616135252
santé social;Foyers;Club senior Vilaris;CLUB SENIOR VILARIS;357;4 rue Vilaris, 33800 Bordeaux;;;-0,563922243249341;44,8262833163889
santé social;Foyers;Club senior Saumenude;CLUB SENIOR SAUMENUDE;358;16 rue Saumenude, 33800 Bordeaux;;;-0,566379326890896;44,8318343366927
santé social;Foyers;Club Senior Albert Barraud;CLUB SENIOR ALBERT BARRAUD;361;13 Bis rue du Docteur Albert Barraud, 33000 Bordeaux;;;-0,586992686525911;44,844345465612
santé social;Foyers;Club senior Achard;CLUB SENIOR ACHARD;363;111 rue Achard, 33300 Bordeaux;;;-0,548064723004695;44,869210547654
santé social;Foyers;Club senior Son Tay;CLUB SENIOR SON TAY;364;45 rue Son Tay, 33800 Bordeaux;;;-0,551901439370459;44,825010818353
santé social;Foyers;Club senior Lumineuse;CLUB SENIOR LUMINEUSE;365;196 rue Achard, 33300 Bordeaux;;;-0,546232065068248;44,8726555173856
santé social;Foyers;Club senior Alfred Smith;CLUB SENIOR ALFRED SMITH;369;30 rue Alfred Smith, 33000 Bordeaux;;;-0,612676063711337;44,8241740332456
santé social;Foyers;Club senior Bonnefin;CLUB SENIOR BONNEFIN;370;7 rue Bonnefin, 33100 Bordeaux;;;-0,551383072949761;44,8447646204558
santé social;Foyers;Club senior Chantecrit;CLUB SENIOR CHANTECRIT;371;45 rue  du Commandant Hautreux, 33300 Bordeaux;;;-0,56292706080889;44,8628448544629
santé social;Centres médico-scolaires;Centre médico-scolaire Vilaris;CENTRE MEDICO SCOLAIRE VILARIS;372;10 rue Vilaris, 33800 Bordeaux;;;-0,563814967426476;44,8261943417269
santé social;Foyers;Club senior Buchou;CLUB SENIOR BUCHOU;373;28 rue Buchou, 33800 Bordeaux;;;-0,565048471224225;44,8218811130216
santé social;Maisons de quartier;Maison de quartier Tauzin;MAISON DE QUARTIER TAUZIN;374;50 rue du Tauzin, 33000 Bordeaux;;;-0,601157473427647;44,8209652944258
santé social;Foyers;Club senior Gelé de Francony;CLUB SENIOR GELE DE FRANCONY;375;4 rue Laporte, 33200 Bordeaux;;;-0,6198313088522;44,8497725027188
santé social;Foyers;Club senior Jardin Public;CLUB SENIOR JARDIN PUBLIC;378;142 rue Jardin Public, 33300 Bordeaux;;;-0,572760812252972;44,8564080694238
santé social;Foyers;Club senior Manon Cormier;CLUB SENIOR MANON CORMIER;379;68 rue Manon Cormier, 33000 Bordeaux;;;-0,590516240713219;44,8312235810088
santé social;Foyers;Club senior Saint Augustin;CLUB SENIOR SAINT AUGUSTIN;380;5 rue Jenny Lepreux, 33000 Bordeaux;;;-0,611671910130433;44,8326748520544
santé social;Foyers;Club senior Aubiers;CLUB SENIOR AUBIERS;381;196 rue Gabriel Frizeau, 33300 Bordeaux;;;-0,571136067988135;44,8733107276326
santé social;Foyers;Club senior Alsace Lorraine;CLUB SENIOR ALSACE LORRAINE;383;15 crs Alsace et Lorraine, 33000 Bordeaux;;;-0,568821233432003;44,8381385503822
