CLE;NOM;SITUATION;TYPE_PUBLIC;CP;OPERATEUR;ADRESSE;NB_POSTES;PAYANT;TYPE_ACCES;FORMATION;X_LONG;Y_LAT;GEOMETRIE;NUM_QUARTIER
1008;Annexe Caudéran;Externe;Tous;;Ville;;1;NON;Wifi;;-0,615162608139202;44,8521232663924;POINT (-0.615162608139202 44.8521232663924);8
1006;Office de tourisme - Quinconce;Externe;Tous;;Ville;;1;NON;Wifi;;-0,574176061782873;44,8437230928344;POINT (-0.574176061782873 44.8437230928344);3
1007;Office de tourisme - Place de la Comédie;Externe;Tous;;Ville;;1;NON;Wifi;;-0,574260542405202;44,8435715822149;POINT (-0.574260542405202 44.8435715822149);3
1009;Hangar G2;Externe;Tous;;Ville;;1;NON;Wifi;;-0,555275779834489;44,8631813311128;POINT (-0.555275779834489 44.8631813311128);1
255;Alsace;Externe;Tous;33000;Ville;;;NON;Wifi;;-0,569112670370342;44,838454308662;POINT (-0.569112670370342 44.838454308662);3
271;Place Saint Michel;Externe;Tous;33000;Ville;;;NON;Wifi;;-0,566015567785078;44,8342984523836;POINT (-0.566015567785078 44.8342984523836);6
277;Ibaia;Externe;Tous;33000;Ville;;;NON;Wifi;;-0,56945597398709;44,8500304622651;POINT (-0.56945597398709 44.8500304622651);2
1013;Patinoire Mériadeck;Interne;Tous;;;;4;NON;Wifi;;-0,588037974686414;44,835180548989;POINT (-0.588037974686414 44.835180548989);3
259;Jardin Botanique 1;Externe;Tous;33000;Ville;;;NON;Wifi;;-0,55827184189155;44,8443499096176;POINT (-0.55827184189155 44.8443499096176);7
299;ATHENEE MUNICIPAL;Interne;Tous;33000;Ville;Place Saint Christoly;1;NON;Poste libre service;non;-0,576958961500011;44,8398436651071;POINT (-0.576958961500011 44.8398436651071);3
321;Conservatoire;Externe;Tous;33000;Ville;;;NON;Wifi;;-0,560036618832484;44,8312524242836;POINT (-0.560036618832484 44.8312524242836);6
323;Esplanade Sport1;Externe;Tous;33000;Ville;;;NON;Wifi;;-0,559472483829691;44,8325362751921;POINT (-0.559472483829691 44.8325362751921);6
246;Bibliothèque Tauzin;Interne;Tous;33000;Ville;50 rue Tauzin;1;NON;Poste libre service;non;-0,601869931416811;44,8204892098459;POINT (-0.601869931416811 44.8204892098459);4
248;Bibliothèque Mériadeck;Interne;Tous;33000;Ville;85 Cours Maréchal Juin;44;NON;Poste libre service;non;-0,58667256654969;44,8352894031204;POINT (-0.58667256654969 44.8352894031204);3
249;Mairie annexe Grand Parc;Interne;Tous;33000;Ville;Place de l'Europe;2;NON;Poste libre service;non;-0,581533439273732;44,8589432763187;POINT (-0.581533439273732 44.8589432763187);2
250;Bibliothèque Lac;Interne;Tous;33000;Ville;place Ginette Neveu;3;NON;Poste libre service;non;-0,572938002888903;44,8737352808529;POINT (-0.572938002888903 44.8737352808529);1
251;Skate1;Externe;Tous;33000;Ville;;;NON;Wifi;non;-0,566277015297812;44,8535270165028;POINT (-0.566277015297812 44.8535270165028);2
256;Place Saint Projet;Externe;Tous;33000;Ville;;;NON;Wifi;non;-0,573949476945553;44,8389853203685;POINT (-0.573949476945553 44.8389853203685);3
262;MEC Toit;Externe;Tous;33000;Ville;;;NON;Wifi;non;-0,567041126976586;44,8387641391926;POINT (-0.567041126976586 44.8387641391926);3
263;H14Toit;Externe;Tous;33000;Ville;;;NON;Wifi;non;-0,565040125534483;44,8542727303211;POINT (-0.565040125534483 44.8542727303211);2
264;MEC Parvis 1;Externe;Tous;33000;Ville;;;NON;Wifi;non;-0,567515736723729;44,8392620546689;POINT (-0.567515736723729 44.8392620546689);3
269;Skate2;Externe;Tous;33000;Ville;;;NON;Wifi;non;-0,566037672243968;44,853716622717;POINT (-0.566037672243968 44.853716622717);2
270;Skate3;Externe;Tous;33000;Ville;;;NON;Wifi;non;-0,565794139097888;44,8539034521056;POINT (-0.565794139097888 44.8539034521056);2
278;Jardin Botanique 2;Externe;Tous;33000;Ville;;;NON;Wifi;;-0,55877795930834;44,8445693741644;POINT (-0.55877795930834 44.8445693741644);7
283;CCAS;Interne;Tous;33000;Ville;74 Bis Cours Saint Louis;1;NON;Poste libre service;non;-0,56898193867724;44,8587996228254;POINT (-0.56898193867724 44.8587996228254);2
284;Mairie Annexe Bastide;Interne;Tous;33000;Ville;42 Rue de Nuits;2;NON;Poste libre service;non;-0,552857185264412;44,8415587925069;POINT (-0.552857185264412 44.8415587925069);7
285;Bibliothèque Bacalan;Interne;Tous;33000;Ville;196 rue Achard;3;NON;Poste libre service;non;-0,5461534697722;44,8730804059259;POINT (-0.5461534697722 44.8730804059259);1
286;Atelier du Pole Giono;Interne;Seniors;33000;Ville;13 Allée Jean Giono;5;NON;Poste libre service;;-0,562944756478272;44,8454998643989;POINT (-0.562944756478272 44.8454998643989);7
287;Bibliothèque Jardin Public;Interne;Tous;33000;Ville;Place Bardineau;1;NON;Poste libre service;non;-0,58012286108146;44,8480260833129;POINT (-0.58012286108146 44.8480260833129);2
288;Bibliothèque Grand Parc;Interne;Tous;33000;Ville;34 rue Pierre Trébod;4;NON;Poste libre service;non;-0,583625651534337;44,8567411146206;POINT (-0.583625651534337 44.8567411146206);2
289;Bibliothèque Son Tay;Interne;Tous;33000;Ville;40 rue Laffiteau;1;NON;Poste libre service;non;-0,551660145769663;44,8247464424864;POINT (-0.551660145769663 44.8247464424864);6
290;Mairie Annexe Bacalan;Interne;Tous;33000;Ville;196 Rue Achard;1;NON;Poste libre service;non;-0,545965462038406;44,8733767377706;POINT (-0.545965462038406 44.8733767377706);1
