CLE;COMMUNE;DOMANIALITE;NATURE;NOMBRE;OBSERVATIONS;PROPRIETAIRE;QUARTIER;REALISATION;X_LONG;Y_LAT;GEOMETRIE
19379;;Espace ville;Arceau vélo;12;;;1;Réalisé;-0,561129742905569;44,8633636144148;POINT (-0.561129742905569 44.8633636144148)
19336;BORDEAUX;Voirie;Arceau vélo;6;;CUB;5;Réalisé;-0,572445361892433;44,8195933324231;POINT (-0.572445361892433 44.8195933324231)
19064;;;Arceau vélo;6;;;;Réalisé;-0,562167249330207;44,8637102098026;POINT (-0.562167249330207 44.8637102098026)
19378;;Etablissement public;Arceau vélo;20;;;4;Réalisé;-0,58002625504963;44,8363525378076;POINT (-0.58002625504963 44.8363525378076)
19324;;Voirie;Rack;;;;5;Réalisé;-0,562857840512229;44,8334860188402;POINT (-0.562857840512229 44.8334860188402)
8185;;Espace ville;Rack;;;;7;Réalisé;-0,544854739902213;44,842362345504;POINT (-0.544854739902213 44.842362345504)
8186;;Espace ville;Arceau vélo;28;;;7;Réalisé;-0,544691281726248;44,8428849407113;POINT (-0.544691281726248 44.8428849407113)
19049;;;Arceau vélo;4;;;6;Réalisé;-0,569217919404499;44,8308271350071;POINT (-0.569217919404499 44.8308271350071)
19373;;;Arceau vélo;6;;;7;Réalisé;-0,552665101148584;44,8422042707425;POINT (-0.552665101148584 44.8422042707425)
19043;;;Arceau vélo;10;;;8;Réalisé;-0,599484261467213;44,840167627521;POINT (-0.599484261467213 44.840167627521)
19042;;;Arceau vélo;30;;;;Réalisé;-0,567131984393656;44,8384595553843;POINT (-0.567131984393656 44.8384595553843)
19141;BORDEAUX;Voirie;Arceau vélo;4;;CUB;4;Réalisé;-0,567029211117205;44,8361536634007;POINT (-0.567029211117205 44.8361536634007)
19372;;;Arceau vélo;6;;;2;Réalisé;-0,57032026930916;44,8529118378501;POINT (-0.57032026930916 44.8529118378501)
20668;;;Arceau vélo;;;;;Réalisé;-0,566477474235884;44,8332782152937;POINT (-0.566477474235884 44.8332782152937)
19065;;;Arceau vélo;6;;;;Réalisé;-0,569914368052655;44,8249343875405;POINT (-0.569914368052655 44.8249343875405)
19070;;;Arceau vélo;12;;;;Réalisé;-0,571489845356743;44,8553779312237;POINT (-0.571489845356743 44.8553779312237)
19075;;;Arceau vélo;6;;;7;Réalisé;-0,562277108186236;44,8428193614373;POINT (-0.562277108186236 44.8428193614373)
19076;;;Arceau vélo;10;;;7;Réalisé;-0,563076434714253;44,8423323178236;POINT (-0.563076434714253 44.8423323178236)
19078;;;Arceau vélo;4;;;7;Réalisé;-0,563483458740996;44,843721396165;POINT (-0.563483458740996 44.843721396165)
19080;;;Arceau vélo;8;;;7;Réalisé;-0,562902380399984;44,8435714108901;POINT (-0.562902380399984 44.8435714108901)
19058;BORDEAUX;Voirie;Arceau vélo;4;;CUB;4;Réalisé;-0,569676770652856;44,8351866783793;POINT (-0.569676770652856 44.8351866783793)
19088;;;Arceau vélo;10;;;;Réalisé;-0,574671913098879;44,843714157714;POINT (-0.574671913098879 44.843714157714)
19091;;;Arceau vélo;10;;;;Réalisé;-0,583370351871903;44,8415188090726;POINT (-0.583370351871903 44.8415188090726)
19093;;;Arceau vélo;16;;;;Réalisé;-0,575082470139099;44,8354121445664;POINT (-0.575082470139099 44.8354121445664)
19095;;;Arceau vélo;6;;;;Réalisé;-0,573405267274533;44,8317462173047;POINT (-0.573405267274533 44.8317462173047)
19097;;;Arceau vélo;12;;;;Réalisé;-0,574328908291777;44,8334158533909;POINT (-0.574328908291777 44.8334158533909)
19099;;;Arceau vélo;8;;;;Réalisé;-0,572025513325496;44,8544892364387;POINT (-0.572025513325496 44.8544892364387)
19102;;;Arceau vélo;4;;;;Réalisé;-0,606971287696474;44,8395794410116;POINT (-0.606971287696474 44.8395794410116)
19106;;;Arceau vélo;4;;;;Réalisé;-0,600581482735468;44,8401616513658;POINT (-0.600581482735468 44.8401616513658)
19107;;;Arceau vélo;4;;;;Réalisé;-0,600559060371063;44,8400824583345;POINT (-0.600559060371063 44.8400824583345)
19110;;;Arceau vélo;4;;;;Réalisé;-0,599484288405619;44,8402551860661;POINT (-0.599484288405619 44.8402551860661)
19113;;;Arceau vélo;22;;;;Réalisé;-0,578111446438516;44,8330327588081;POINT (-0.578111446438516 44.8330327588081)
19114;;;Arceau vélo;6;;;;Réalisé;-0,586675617124043;44,8340116378268;POINT (-0.586675617124043 44.8340116378268)
19115;;;Arceau vélo;4;;;2;Réalisé;-0,571116310814067;44,8519580484139;POINT (-0.571116310814067 44.8519580484139)
19121;;;Arceau vélo;8;;;5;Réalisé;-0,572070353630364;44,8305516007863;POINT (-0.572070353630364 44.8305516007863)
19125;;;Rack;;;;2;Réalisé;-0,58525153548354;44,8498729342879;POINT (-0.58525153548354 44.8498729342879)
19126;;;Arceau vélo;6;;;7;Réalisé;-0,559829410213724;44,8435448890364;POINT (-0.559829410213724 44.8435448890364)
19105;BORDEAUX;Voirie;Arceau vélo;12;;CUB;4;Réalisé;-0,5854888100212;44,8342929820793;POINT (-0.5854888100212 44.8342929820793)
19138;;;Arceau vélo;6;;;;Réalisé;-0,585481500244405;44,8345864262586;POINT (-0.585481500244405 44.8345864262586)
19142;;Voirie;Arceau vélo;6;;;3;Réalisé;-0,588969019990771;44,8437960037482;POINT (-0.588969019990771 44.8437960037482)
19145;;;Arceau vélo;10;;;6;Réalisé;-0,568466839311269;44,8308614138189;POINT (-0.568466839311269 44.8308614138189)
19146;;Voirie;Arceau vélo;12;;;3;Réalisé;-0,57657389520771;44,8396530204599;POINT (-0.57657389520771 44.8396530204599)
19148;;Voirie;Arceau vélo;6;;;3;Réalisé;-0,590181961357266;44,8471651547115;POINT (-0.590181961357266 44.8471651547115)
19153;;;Arceau vélo;6;;;7;Réalisé;-0,560707475832803;44,8437863069612;POINT (-0.560707475832803 44.8437863069612)
19182;;;Arceau vélo;6;;;;Réalisé;-0,544135074475109;44,8496657477578;POINT (-0.544135074475109 44.8496657477578)
19157;;;Arceau vélo;;;;;Réalisé;-0,58207551116193;44,8382819842114;POINT (-0.58207551116193 44.8382819842114)
19158;;;Arceau vélo;14;;;;Réalisé;-0,575247307432428;44,835714139966;POINT (-0.575247307432428 44.835714139966)
19002;;;Arceau moto;2;;;;Réalisé;-0,595632822666131;44,8506738871518;POINT (-0.595632822666131 44.8506738871518)
19136;;Voirie;Rack;;;;4;Réalisé;-0,58864521939105;44,8312802471623;POINT (-0.58864521939105 44.8312802471623)
19170;;;Arceau vélo;8;;;;Réalisé;-0,571420667248857;44,8557450163844;POINT (-0.571420667248857 44.8557450163844)
19174;;;Arceau vélo;2;;;;Réalisé;-0,600902610251577;44,8400569947922;POINT (-0.600902610251577 44.8400569947922)
19180;;;Arceau vélo;8;;;;Réalisé;-0,586695545372073;44,8340999197049;POINT (-0.586695545372073 44.8340999197049)
19183;;;Arceau vélo;8;;;;Réalisé;-0,543789617729951;44,8503405657418;POINT (-0.543789617729951 44.8503405657418)
19187;;;Arceau vélo;4;;;2;Réalisé;-0,571183431995306;44,8518907243969;POINT (-0.571183431995306 44.8518907243969)
19190;;;Rack;;;;5;Réalisé;-0,571506584571569;44,8324353147968;POINT (-0.571506584571569 44.8324353147968)
19199;;;Arceau vélo;4;;;5;Réalisé;-0,573501963481954;44,8312295413464;POINT (-0.573501963481954 44.8312295413464)
19209;;;Arceau vélo;10;;;7;Réalisé;-0,561839383848331;44,8431528458826;POINT (-0.561839383848331 44.8431528458826)
19227;;Voirie;Arceau vélo;14;;;5;Réalisé;-0,575298053009284;44,8253448093585;POINT (-0.575298053009284 44.8253448093585)
19166;;;Arceau vélo;6;;;;Réalisé;-0,608426252163318;44,8395525964656;POINT (-0.608426252163318 44.8395525964656)
19167;BORDEAUX;Voirie;Arceau vélo;10;;CUB;3;Réalisé;-0,57736345780043;44,8449522332733;POINT (-0.57736345780043 44.8449522332733)
19213;;;Arceau vélo;4;;;7;Réalisé;-0,562925240736441;44,8434640406428;POINT (-0.562925240736441 44.8434640406428)
19222;;;Arceau vélo;10;;;4;Réalisé;-0,585646593034646;44,8344136730348;POINT (-0.585646593034646 44.8344136730348)
19228;;Voirie;Arceau vélo;6;;;3;Réalisé;-0,586525532807778;44,8443531697276;POINT (-0.586525532807778 44.8443531697276)
19229;;Voirie;Arceau vélo;8;;;5;Réalisé;-0,577987351388128;44,824650323845;POINT (-0.577987351388128 44.824650323845)
19247;;Voirie;Arceau vélo;10;;;3;Réalisé;-0,586829758832818;44,8495253999658;POINT (-0.586829758832818 44.8495253999658)
19201;BORDEAUX;Voirie;Arceau vélo;20;;CUB;5;Réalisé;-0,564920409086134;44,8316503506117;POINT (-0.564920409086134 44.8316503506117)
19380;;Etablissement public;Arceau vélo;18;;;1;Réalisé;-0,582019764485353;44,8794532782428;POINT (-0.582019764485353 44.8794532782428)
19397;;Espace ville;Arceau vélo;6;;;1;Réalisé;-0,567042974664563;44,9056388285475;POINT (-0.567042974664563 44.9056388285475)
19402;;Espace ville;Autre;;;;1;Réalisé;-0,579209074707895;44,9022543547034;POINT (-0.579209074707895 44.9022543547034)
19413;;;Arceau vélo;4;;;2;Réalisé;-0,572628674565288;44,8494831047643;POINT (-0.572628674565288 44.8494831047643)
19381;;Espace ville;Arceau vélo;30;;;1;Réalisé;-0,569056051990607;44,8721595896671;POINT (-0.569056051990607 44.8721595896671)
19386;;Espace ville;Arceau vélo;60;;;1;Réalisé;-0,569918467742439;44,8991513247541;POINT (-0.569918467742439 44.8991513247541)
19809;BORDEAUX;Voirie;Arceau vélo;6;;CUB;7;Réalisé;-0,543710459292935;44,8460203264945;POINT (-0.543710459292935 44.8460203264945)
19765;BORDEAUX;Voirie;Arceau vélo;6;public;CUB;1;Réalisé;-0,560448561404315;44,8573800391778;POINT (-0.560448561404315 44.8573800391778)
19764;BORDEAUX;Etablissement public;Arceau vélo;10;CRECHE;VILLE;1;Réalisé;-0,570474235115345;44,8563451849438;POINT (-0.570474235115345 44.8563451849438)
19766;BORDEAUX;Voirie;Arceau vélo;8;public;CUB;1;Réalisé;-0,561640127400679;44,8569000208547;POINT (-0.561640127400679 44.8569000208547)
19812;BORDEAUX;Voirie;Arceau vélo;12;;VILLE;7;Réalisé;-0,554489625142218;44,8413122604709;POINT (-0.554489625142218 44.8413122604709)
19813;BORDEAUX;Voirie;Arceau vélo;12;;CUB;7;Réalisé;-0,552824461076425;44,8416780063396;POINT (-0.552824461076425 44.8416780063396)
19814;BORDEAUX;Voirie;Arceau vélo;12;;CUB;7;Réalisé;-0,559546371157345;44,8442652817445;POINT (-0.559546371157345 44.8442652817445)
19777;BORDEAUX;Voirie;Arceau vélo;;public;CUB;1;Réalisé;-0,568531421596405;44,8521438844152;POINT (-0.568531421596405 44.8521438844152)
19782;BORDEAUX;Voirie;Arceau vélo;4;public;CUB;1;Réalisé;-0,562885920083538;44,8562384930203;POINT (-0.562885920083538 44.8562384930203)
19793;BORDEAUX;Voirie;Arceau vélo;6;;CUB;7;Réalisé;-0,55188267103545;44,8449071124018;POINT (-0.55188267103545 44.8449071124018)
19794;BORDEAUX;Voirie;Arceau vélo;6;;CUB;7;Réalisé;-0,552914380346125;44,8442690341616;POINT (-0.552914380346125 44.8442690341616)
19795;BORDEAUX;Voirie;Arceau vélo;6;;CUB;7;Réalisé;-0,554315101720564;44,8434146707704;POINT (-0.554315101720564 44.8434146707704)
