EXERCICE;D_R;I_F;ORDRE_O_N;CODE_CHAPITRE;LIBELLE_CHAPITRE;CODE_SS_FONCTION;LIBELLE_SS_FONCTION;CODE_ARTICLE;LIBELLE_ARTICLE;MONTANT
2013;D;F;N;011;CHARGES A CARACTERE GENERAL;01;Services généraux opérations non ventilables;6288;DIVERS - AUTRES SERVICES EXTERIEURS;601251
2013;D;F;N;011;CHARGES A CARACTERE GENERAL;020;Administration générale de la collectivité;6041;ACHATS D'ETUDES;500
2013;D;F;N;011;CHARGES A CARACTERE GENERAL;020;Administration générale de la collectivité;6042;ACHATS DE PRESTATIONS DE SERVICES;524325
2013;D;F;N;011;CHARGES A CARACTERE GENERAL;020;Administration générale de la collectivité;60611;EAU ET ASSAINISSEMENT;680600
2013;D;F;N;011;CHARGES A CARACTERE GENERAL;020;Administration générale de la collectivité;60612;ENERGIE;5635516
2013;D;F;N;011;CHARGES A CARACTERE GENERAL;020;Administration générale de la collectivité;60621;COMBUSTIBLES;905000
2013;D;F;N;011;CHARGES A CARACTERE GENERAL;020;Administration générale de la collectivité;60623;ALIMENTATION;123500
2013;D;F;N;011;CHARGES A CARACTERE GENERAL;020;Administration générale de la collectivité;60628;AUTRES FOURNITURES NON STOCKEES;4000
2013;D;F;N;011;CHARGES A CARACTERE GENERAL;020;Administration générale de la collectivité;60631;FOURNITURES D'ENTRETIEN;38400
2013;D;F;N;011;CHARGES A CARACTERE GENERAL;020;Administration générale de la collectivité;60632;FOURNITURES DE PETIT EQUIPEMENT;71740
2013;D;F;N;011;CHARGES A CARACTERE GENERAL;020;Administration générale de la collectivité;60636;VETEMENTS DE TRAVAIL;67500
2013;D;F;N;011;CHARGES A CARACTERE GENERAL;020;Administration générale de la collectivité;6064;FOURNITURES ADMINISTRATIVES;182100
2013;D;F;N;011;CHARGES A CARACTERE GENERAL;020;Administration générale de la collectivité;6068;AUTRES MATIERES ET FOURNITURES;941700
2013;D;F;N;011;CHARGES A CARACTERE GENERAL;020;Administration générale de la collectivité;611;CONTRATS PRESTATIONS DE SERVICES;879100
2013;D;F;N;011;CHARGES A CARACTERE GENERAL;020;Administration générale de la collectivité;6132;LOCATIONS IMMOBILIERES;2219960
2013;D;F;N;011;CHARGES A CARACTERE GENERAL;020;Administration générale de la collectivité;6135;LOCATIONS MOBILIERES;105900
2013;D;F;N;011;CHARGES A CARACTERE GENERAL;020;Administration générale de la collectivité;614;CHARGES LOCATIVES ET DE COPROPRIETE;719530
2013;D;F;N;011;CHARGES A CARACTERE GENERAL;020;Administration générale de la collectivité;61521;ENTRETIEN ET REPARATIONS - TERRAINS;3000
2013;D;F;N;011;CHARGES A CARACTERE GENERAL;020;Administration générale de la collectivité;61522;ENTRETIEN ET REPARATIONS - BATIMENTS;1486200
2013;D;F;N;011;CHARGES A CARACTERE GENERAL;020;Administration générale de la collectivité;61551;ENTRETIEN ET REPARATIONS - MATERIEL ROULANT;8000
