EXERCICE;D_R;I_F;ORDRE_O_N;CODE_CHAPITRE;LIBELLE_CHAPITRE;CODE_SS_FONCTION;LIBELLE_SS_FONCTION;CODE_ARTICLE;LIBELLE_ARTICLE;MONTANT
2016;D;I;N;001;RESULTAT D'INVESTISSEMENT REPORTE;01;Services généraux opérations non ventilables;001;RESULTAT D'INVESTISSEMENT REPORTE;0
2016;R;F;N;002;RESULTAT DE FONCTIONNEMENT REPORTE;01;Services généraux opérations non ventilables;002;RESULTAT DE FONCTIONNEMENT REPORTE;0
2016;D;F;N;011;CHARGES A CARACTERE GENERAL;01;Services généraux opérations non ventilables;62876;REMBOURSEMENTS DE FRAIS AU GFP DE RATTACHEMENT;0
2016;D;F;N;011;CHARGES A CARACTERE GENERAL;01;Services généraux opérations non ventilables;6288;DIVERS - AUTRES SERVICES EXTERIEURS;100000
2016;D;F;N;011;CHARGES A CARACTERE GENERAL;020;Administration générale de la collectivité;6041;ACHATS D'ETUDES;0
2016;D;F;N;011;CHARGES A CARACTERE GENERAL;020;Administration générale de la collectivité;6042;ACHATS DE PRESTATIONS DE SERVICES;386980
2016;D;F;N;011;CHARGES A CARACTERE GENERAL;020;Administration générale de la collectivité;60611;EAU ET ASSAINISSEMENT;697000
2016;D;F;N;011;CHARGES A CARACTERE GENERAL;020;Administration générale de la collectivité;60612;ENERGIE;5195000
2016;D;F;N;011;CHARGES A CARACTERE GENERAL;020;Administration générale de la collectivité;60621;COMBUSTIBLES;985000
2016;D;F;N;011;CHARGES A CARACTERE GENERAL;020;Administration générale de la collectivité;60622;CARBURANTS;570000
2016;D;F;N;011;CHARGES A CARACTERE GENERAL;020;Administration générale de la collectivité;60623;ALIMENTATION;151928
2016;D;F;N;011;CHARGES A CARACTERE GENERAL;020;Administration générale de la collectivité;60628;AUTRES FOURNITURES NON STOCKEES;6300
2016;D;F;N;011;CHARGES A CARACTERE GENERAL;020;Administration générale de la collectivité;60631;FOURNITURES D'ENTRETIEN;41000
2016;D;F;N;011;CHARGES A CARACTERE GENERAL;020;Administration générale de la collectivité;60632;FOURNITURES DE PETIT EQUIPEMENT;69500
2016;D;F;N;011;CHARGES A CARACTERE GENERAL;020;Administration générale de la collectivité;60636;VETEMENTS DE TRAVAIL;128025
2016;D;F;N;011;CHARGES A CARACTERE GENERAL;020;Administration générale de la collectivité;6064;FOURNITURES ADMINISTRATIVES;91277
2016;D;F;N;011;CHARGES A CARACTERE GENERAL;020;Administration générale de la collectivité;6068;AUTRES MATIERES ET FOURNITURES;1039679
2016;D;F;N;011;CHARGES A CARACTERE GENERAL;020;Administration générale de la collectivité;611;CONTRATS PRESTATIONS DE SERVICES;750300
2016;D;F;N;011;CHARGES A CARACTERE GENERAL;020;Administration générale de la collectivité;6132;LOCATIONS IMMOBILIERES;1631885
2016;D;F;N;011;CHARGES A CARACTERE GENERAL;020;Administration générale de la collectivité;6135;LOCATIONS MOBILIERES;130500
