ID;NOM;ADRESSE;CP;INSEE;COMMUNE;CATEGORIE;SS_CATEG;CONDITIONS;SOURCE;CAPACITE;OUVERTURE;DESCRIPTIF;GESTIONNAIRE;TEL;Y_LAT;X_LONG
4669;Véloparc Landreau;18 Rue du Moulin Neuf;44300;440109;Nantes;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;4;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,231937260431;-1,51567410784259
4670;Véloparc Santos Dumont;83 Rue des Renards;44300;440109;Nantes;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;12;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,2593409385311;-1,56817516887492
4671;Véloparc Joliverie;141B Route de Clisson;44200;440109;Nantes;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;12;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,1894640822829;-1,51713736252049
4672;Véloparc Gare de Chantenay;6 Rue de la Gare de Chantenay;44100;440109;Nantes;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;6;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,1974776928454;-1,59432063221902
4673;Véloparc Croix Bonneau;162 Rue des Pavillons;44100;440109;Nantes;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;4;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,2093793132118;-1,59590571933794
4674;Véloparc Egalité;6 Boulevard Léon Jouhaux;44100;440109;Nantes;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;8;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,2096389969219;-1,58893567189702
4675;Véloparc Grammoire;Boulevard Guichet Sérex;44120;440215;Vertou;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;8;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,1648832280468;-1,48057280724925
4676;Véloparc Croix Jeannette;2 Rue Eugène Pottier;44340;440020;Bouguenais;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;4;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,1753883030413;-1,62381748548106
4677;Véloparc Les Couëts;2 Rue de la Chapelle;44340;440020;Bouguenais;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;6;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,181039990182;-1,58619215993453
4679;Véloparc Durantière piscine;15 Rue de la Durantière;44100;440109;Nantes;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;6;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,2130698600424;-1,5987433387711
4680;Véloparc La Montagne Pompiers;4 Rue du Chat qui Guette;44620;440101;La Montagne;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;6;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,1884394787049;-1,68921547002753
4682;Véloparc Zola;5 Rue des Renardières;44100;440109;Nantes;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;10;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,2139678598976;-1,58630574491059
4684;Véloparc Neustrie;Rue Christophe Colomb;44340;440020;Bouguenais;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;10;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,1768127291306;-1,5931008293991
4685;Véloparc Mitterrand;Boulevard Salvador Allende;44800;440162;Saint-Herblain;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;6;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,2220008775796;-1,63953071741886
4687;Véloparc Chapeau vernis;141B Route de Clisson;44230;440190;Saint-Sébastien-sur-Loire;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;4;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,1893474163775;-1,51129607032802
4688;Véloparc Beauséjour;Rue du Chêne Vert;44100;440109;Nantes;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;4;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,2385866318548;-1,5875971686372
4689;Véloparc Saint Félix;2 Boulevard Michelet;44000;440109;Nantes;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;4;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,2309463760357;-1,5567463855788
4691;Véloparc Michelet;41 Boulevard Michelet;44300;440109;Nantes;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;6;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,2347397901383;-1,55679328902158
4693;Véloparc Ragon;33 Rue Ernest Sauvestre;44400;440143;Rezé;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;10;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,1653708798508;-1,54222050358576
4694;Véloparc Papotière;20 Rue de la Planchonnais;44980;440172;Sainte-Luce-sur-Loire;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;6;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,2532938421275;-1,4748634235678
4696;Véloparc Place du Vieux Doulon;3 Boulevard du Manoir Saint-Lo;44300;440109;Nantes;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;4;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,2355803942804;-1,50396829907476
4697;Véloparc Gare de Chantenay;6 Rue de la Gare de Chantenay;44100;440109;Nantes;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;4;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,1976767160305;-1,59432983478804
4698;Véloparc Rue du Prieuré;2G Avenue du Onze Novembre;44640;440166;Saint-Jean-de-Boiseau;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;4;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,1919584946688;-1,69665947853245
4699;Véloparc Maillardière;29 Rue de la Maillardière;44840;440198;Les Sorinières;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;4;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,1571884416442;-1,52299322686504
4700;Véloparc Papillons;50 Rue des Papillons;44840;440198;Les Sorinières;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;4;7 jours sur 7. 24 h sur 24.;Consigne;https://www.tan.fr/;02 40 444 444;47,1477594251696;-1,52095767496549
4702;Véloparc La Chantrerie;Route de Gachet;44300;440109;Nantes;Equipements vélo;Stationnement vélo;Accès libre;Nantes Métropole;12;7 jours sur 7. 24 h sur 24.;Collectif abrité;https://www.tan.fr/;02 40 444 444;47,2822591301244;-1,5178668774436
4703;Véloparc La Chantrerie;Route de Gachet;44300;440109;Nantes;Equipements vélo;Stationnement vélo;Gratuit par badge;Nantes Métropole;12;7 jours sur 7. 24 h sur 24.;collectif sécurisé;https://www.tan.fr/;02 40 444 444;47,28211961337;-1,51767306531112
