ID;Designation;Nature_site;Position_precise;Jours_ouverture;Heure_ouverture;Heure_fermeture;Adresse;Commune;Quartier;Y_LAT;X_LONG
1;Mairie centrale;PUBLIC; Dans le hall d'accueil;Lundi , Mardi , Mercredi , Jeudi , Vendredi;08:00;18:00;29 rue de Strasbourg;Nantes;1;47,2187036842052;-1,55374214495589
1;Mairie centrale;PUBLIC; Dans le hall d'accueil;Samedi;09:00;12:00;29 rue de Strasbourg;Nantes;1;47,2187036842052;-1,55374214495589
2;Médiathèque Jacques Demy;PUBLIC; P.C Sécurité;Lundi , Mardi , Jeudi , Vendredi;12:00;19:00;24 quai de la Fosse;Nantes;1;47,2110628582813;-1,56209573371648
2;Médiathèque Jacques Demy;PUBLIC;: P.C Sécurité;Mercredi;10:00;19:00;24 quai de la Fosse;Nantes;1;47,2110628582813;-1,56209573371648
2;Médiathèque Jacques Demy;PUBLIC; P.C Sécurité - niveau 6;Samedi;10:00;18:00;24 quai de la Fosse;Nantes;1;47,2110628582813;-1,56209573371648
3;Pharmacie de Paris;PRIVÉ;INTÉRIEUR:;;;;17 rue d'Orléans;Nantes;1;47,2143981351171;-1,55775173962693
4;Pharmacie du Théâtre;PRIVÉ;INTÉRIEUR:;;;;1 place Graslin;Nantes;1;47,2131534938734;-1,56179859209062
5;Pharmacie du Pilori;PRIVÉ;INTÉRIEUR:;;;;1 place du Pilori;Nantes;1;47,2162860836856;-1,55278646431271
6;Muséum d'Histoire Naturelle;PUBLIC;Accueil du Muséum - coté du square Louis Bureau et des toilettes publiques;Lundi, Mercredi, Jeudi, Vendredi;10:00;18:00;12 rue Voltaire;Nantes;1;47,212810135305;-1,56502534069262
7;Pharmacie Saint Nicolas,;PRIVÉ;INTÉRIEUR:;;;;9 rue de Feltre;Nantes;1;47,2157155472174;-1,55874650914908
8;Pharmacie de la Cathédrale;PRIVÉ;INTÉRIEUR:;;;;2 rue du Roi Albert;Nantes;1;47,2187050420096;-1,55103216649778
9;Pharmacie des Lauriers;PRIVÉ;INTÉRIEUR:;;;;10 rue du Doubs;Nantes;2;47,2040015427375;-1,60604184098012
10;Le Planétarium;PUBLIC;Hall d'accueil à gauche  en entrant;Lundi , Mardi , Mercredi , Jeudi , Vendredi;09:00;12:30;8 rue des Acadiens;Nantes;2;47,2022445356877;-1,57752413333852
