Code;Libelle;adresse_postale;Y_LAT;X_LONG;Acces_Tan;Jeux;Mobilier_pique_nique;Pataugeoire;Point_d_eau;Sanitaires;Abris;Acces_handicap_y_compris_sanitai;Collection_vegetale;Gardien;Chien_interdit_en_laisse;Jardin_clos;Surface_hors_batiments;Commentaire
170;Parc du grand-blottereau;Boulevard auguste peneau;47,2276;-1,50934;Tram ligne 1 ou bus lignes 12, 58,75, 82, 92;OUI;NON;NON;OUI;OUI;NON;OUI;Canna, plantes tropicales;OUI;NON;OUI;192660;
173;Square benoni goulin;Rue du scorff;47,2023;-1,55138;Min ligne 52;NON;NON;NON;NON;NON;NON;NON;;NON;NON;NON;1979;
174;Square rue jules sebilleau;Rue jules sebilleau;47,2053;-1,53153;Sebilleau lignes 24 52 b;NON;NON;NON;NON;NON;NON;NON;;NON;NON;OUI;1820;
176;Parc say;Rue desire colombe;47,2123;-1,5685;Sanitat ligne 11;NON;NON;NON;NON;NON;NON;NON;;NON;NON;NON;8010;
177;Square de la marseillaise;Rue du bois hercé - rue de la marseillaise;47,2078;-1,59202;Marseillaise ligne 11;OUI;NON;NON;NON;NON;NON;NON;;NON;NON;NON;1896;
178;Square des marthyrs irlandais;Rue francis portais - rue de l'adour;47,2081;-1,60983;Romain rolland ligne 1;OUI;NON;NON;OUI;NON;NON;OUI;;NON;NON;OUI;10710;
179;Square du bois de la musse;Rue etienne coutan;47,2049;-1,61028;Bernanos lignes 25 h 74;OUI;NON;NON;NON;NON;NON;NON;;NON;NON;NON;7902;
180;Parc de la boucardiere;Rue de l'abbaye - chemin de la petite boucardière;47,2015;-1,59801;Bois hardy lignes 25 81;OUI;NON;NON;OUI;NON;NON;NON;;NON;NON;OUI;26010;
182;Square gaston michel;Boulevard des américains;47,2351;-1,57141;Americains 12 32 dlu;OUI;NON;NON;NON;OUI;NON;NON;;NON;OUI;OUI;1788;
183;Jeux de boules proust bergson;Rue marcel proust - rue henri bergson;47,2545;-1,57074;Monge chauviniere ligne 96;NON;NON;NON;NON;NON;NON;NON;;NON;NON;NON;1344;
187;Parc du petit port;Boulevard des tribunes;47,2476;-1,56688;Champ de courses 25 51 52;NON;OUI;NON;NON;NON;NON;NON;;NON;NON;NON;493800;
211;Parc de beaulieu;Cours de la prairie d'amont;47,2114;-1,52053;Hôtel de région 52 b;OUI;OUI;NON;OUI;NON;OUI;OUI;;NON;NON;NON;12970;
347;Square gabriel chéreau;Rue d'ancin;47,2111;-1,56282;Médiathèque ligne 1;OUI;NON;NON;OUI;NON;NON;NON;;NON;NON;OUI;938;
382;Square des courtils;Rue des courtils;47,2008;-1,59307;Jean mace lignes 21 70;OUI;NON;NON;NON;NON;NON;OUI;;NON;NON;NON;4198;
