Entité Juridique;Décision budgétaire;Exercice;Entité Financière;Nomenclature comptable;Type de mouvements;Section;Chapitre budgétaire;Libellé Chapitre budgétaire;Chapitre par nature;Libellé chapitre par nature;Nature comptable;Libellé Nature comptable;Fonction;Libellé Fonction;Mt Dépenses;Mt Recettes
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;211;Ecoles maternelles;2616885;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;212;Ecoles primaires;2526305;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;311;Expression musicale, lyrique et chorégraphique;890347;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;40;Services communs;2088118;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;421;Centres de loisirs;269325;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;422;Autres activités pour les jeunes;1224741;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;511;Dispensaires et autrs établissements sanitaires;14182;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;823;Espaces verts urbains;1399051;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;026;Cimetières et pompes funèbres;426558;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;20;Services communs;522741;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;255;Classes de découverte et autres services annexes de l'enseignement;186319;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;30;Services communs;213081;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;415;Manifestations sportives;3433;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;422;Autres activités pour les jeunes;1797078;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;61;Services en faveur des personnes agées;198;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;012;Charges de personnel et frais assimilés;6458;Cotisations aux autres organismes sociaux;311;Expression musicale, lyrique et chorégraphique;93000;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;012;Charges de personnel et frais assimilés;64884;CHARGES DIVERSES - PARTICIPATION TRANSPORTS;022;Administration générale de l'Etat;7237;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;012;Charges de personnel et frais assimilés;64884;CHARGES DIVERSES - PARTICIPATION TRANSPORTS;110;Services communs;1060;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;012;Charges de personnel et frais assimilés;64884;CHARGES DIVERSES - PARTICIPATION TRANSPORTS;112;Police municipale;3092;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;012;Charges de personnel et frais assimilés;64884;CHARGES DIVERSES - PARTICIPATION TRANSPORTS;114;Autres services de protection civile;3452;0
