Entité financière programme;Nomenclature;Nature AP/EPCP;Type mouvement;Section;Code chapitre;Libellé chapitre;Code article;Libellé article;Code fonction;Libellé fonction;Mt Voté BP
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64118;Autres indemnités;251;Hébergement et restauration scolaire;531349
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64118;Autres indemnités;026;Cimetières et pompes funèbres;528445
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64118;Autres indemnités;112;Police municipale;2783704
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64118;Autres indemnités;212;Ecoles primaires;2193128
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6042;Achats de prestations de services (autres que terrain à aménager);322;Musées;63300
Budget principal VT;M14;Dépense;Réel;Fonctionnement;65;Autres charges de gestion courante;658;Charges diverses de la gestion courante;020;Administration générale de la collectivité;5000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;66;Charges financières;66111;Intérêts réglés à l'échéance;01;Opérations non ventilables;300000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;66;Charges financières;668;Autres charges financières;01;Opération non ventilable;1500
Budget principal VT;M14;Dépense;Réel;Fonctionnement;67;Charges exceptionnelles;6711;Intérêts moratoires et pénalités sur marché;01;Opérations non ventilables;50000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;67;Charges exceptionnelles;6745;Subventions de fonctionnement exceptionnelles aux personnes de droit privé;524;Autres services;5820
Budget principal VT;M14;Dépense;Réel;Fonctionnement;67;Charges exceptionnelles;6745;Subventions de fonctionnement exceptionnelles aux personnes de droit privé;831;Aménagement des eaux;5000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;67;Charges exceptionnelles;6748;Autres subventions de fonctionnement exceptionnelles;311;Expression musicale, lyrique et chorégraphique;35000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;67;Charges exceptionnelles;678;Autres charges exceptionnelles;020;Administration générale de la collectivité;25000
Budget principal VT;M14;Dépense;Réel;Investissement;16;Emprunts et dettes assimilées;165;Dépôts et cautionnements reçus;01;Opération non ventilable;37400
Budget principal VT;M14;Dépense;Réel;Investissement;20;Immobilisations incorporelles;2031;Frais d'études;40;Services communs;100000
Budget principal VT;M14;Dépense;Réel;Investissement;20;Immobilisations incorporelles;2031;Frais d'études;414;Autres équipements sportifs ou de loisir;25000
Budget principal VT;M14;Dépense;Réel;Investissement;204;Subventions d'équipement versées;204113;Subventions d'équipement versées à l'état - Projets d'infrastructures d'intérêts national;820;Services communs;1600000
Budget principal VT;M14;Dépense;Réel;Investissement;204;Subventions d'équipement versées;2041581;Subventions d'équipement versées - Autres groupements - Biens mobiliers, matériel et études;322;Musées;98250
Budget principal VT;M14;Dépense;Réel;Investissement;204;Subventions d'équipement versées;20421;Subventions d'équipement versées aux personnes de droit privé - Biens mobiliers, matériel et études;524;Autres services;200000
Budget principal VT;M14;Dépense;Réel;Investissement;204;Subventions d'équipement versées;20422;Subventions d'équipement versées aux personnes de droit privé - Bâtiments et installations;61;Services en faveur des personnes agées;400000
Budget principal VT;M14;Dépense;Réel;Investissement;204;Subventions d'équipement versées;20422;Subventions d'équipement versées aux personnes de droit privé - Bâtiments et installations;72;Aide au secteur locatif;600000
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2121;Plantations d'arbres et arbustes;823;Espaces verts urbains;250000
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;30;Services communs;918200
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;322;Musées;399173
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;324;Entretien du partrimoine culturel;1189300
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;411;Salles de sports, gymnases;908650
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;64;Crèches et garderies;2001642
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;823;Espaces verts urbains;750000
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;824;Autres opérations d'aménagement urbain;3615234
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;21538;Autres réseaux;821;Equipements de voirie;50000
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2158;Autres installations, matériel et outillage technique;40;Services communs;138500
