Entité financière programme;Nature AP/EPCP;Type mouvement;Section;Nomenclature comptable;Code chapitre;Libellé chapitre;Code article;Libellé article;Code présentation croisée;Libellé présentation croisée;Chapitre par nature;Libellé par nature;Mt CP Voté BP;Mt CP ICNE BP
Pompes Funèbres;Dépense;Réel;Fonctionnement;M4x;011;Charges à caractère général;6231;Publicité, publications, relations publiques - Annonces et insertions;6231;Publicité, publications, relations publiques - Annonces et insertions;011;;90000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;60632;Fournitures de petit équipement;64;Crèches et garderies;011;Ch. à caract. gén.;93516;0
Budget principal VT;Dépense;Réel;Investissement;M14V;23;Immobilisations en cours;2318;Autres immobilisations corporelles en cours;824;Autres opérations d'aménagement urbain;23;Travaux en cours;0;0
Théâtre Orchestre du Capitole;Dépense;Réel;Fonctionnement;M14;012;Charges de personnel et frais assimilés;64112;NBI, supplément famillial de traitement et indemnité de résidence;313;Théâtres;012;Ch.de pers., frais ass.;36500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;60632;Fournitures de petit équipement;322;Musées;011;Ch. à caract. gén.;119610;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;62878;Remboursements de frais à d'autres organismes;020;Administration générale de la collectivité;011;Ch. à caract. gén.;233353;0
Budget principal VT;Dépense;Ordre;Investissement;M14V;040;Opérations d'ordre de transfert entre sections;280422;Amortissement des subventions d'équipement versées aux personnes de droit privé - Bâtiments et installations (O);01;Opération non ventilable;28;Amort. des immobilisations;1100000;0
Budget principal VT;Recette;Ordre;Investissement;M14V;040;Opérations d'ordre de transfert entre sections;2804112;Amortissement des subventions d'équipement versées à l'état - Bâtiments et installations (O);01;Opération non ventilable;28;Amort. des immobilisations;219;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6251;Voyages et déplacements;322;Musées;011;Ch. à caract. gén.;16390;0
Théâtre Orchestre du Capitole;Dépense;Réel;Investissement;M14;21;Immobilisations corporelles;2183;Matériel de bureau et matériel informatique;313;Théâtres;21;Immob. corporelles;73500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6281;Concours divers (cotisations..);831;Aménagement des eaux;011;Ch. à caract. gén.;1600;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;6574;Subventions de fonctionnement aux associations et autres personnes droit privé;30;Services communs;65;Autres ch d'activité;1058640;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;212;Ecoles primaires;012;Ch.de pers., frais ass.;1726381;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;61522;Entretien et réparations des bâtiments;323;Archives;011;Ch. à caract. gén.;3500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;60621;Combustibles;33;Action culturelle;011;Ch. à caract. gén.;50;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;73;Impôts et taxes;7333;Taxe funéraire;026;Cimetières et pompes funèbres;73;Impôts et taxes;70000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6188;Autres frais divers;023;Information, communication, publicité;011;Ch. à caract. gén.;379500;0
Budget principal VT;Dépense;Réel;Investissement;M14V;20;Immobilisations incorporelles;2031;Frais d'études;33;Action culturelle;20;Immob. incorporelles;50000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6244;Transports administratifs;023;Information, communication, publicité;011;Ch. à caract. gén.;322400;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;33;Action culturelle;21;Immob. corporelles;1200000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2188;Autres immobilisations corporelles;411;Salles de sports, gymnases;21;Immob. corporelles;89370;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;421;Centres de loisirs;012;Ch.de pers., frais ass.;1593873;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2161;Oeuvres et objets d'art;33;Action culturelle;21;Immob. corporelles;206150;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6247;Transports collectifs;61;Services en faveur des personnes agées;011;Ch. à caract. gén.;527700;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;67;Charges exceptionnelles;678;Autres charges exceptionnelles;01;Opérations non ventilables;67;Ch. execpt.;40000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;60611;Eau et assainissement;322;Musées;011;Ch. à caract. gén.;500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6251;Voyages et déplacements;048;Autres actions de coopération décentralisée;011;Ch. à caract. gén.;80000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6256;Missions;048;Autres actions de coopération décentralisée;011;Ch. à caract. gén.;15000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;70;Services communs;012;Ch.de pers., frais ass.;116117;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;74;Dotations, subventions et participations;7478;Participations des autres organismes;510;Services communs;74;Dotations, subv.;150000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2128;Autres agencements et aménagements;413;Piscines;21;Immob. corporelles;125000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;60632;Fournitures de petit équipement;423;Colonies de vacances;011;Ch. à caract. gén.;15940;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6188;Autres frais divers;423;Colonies de vacances;011;Ch. à caract. gén.;158740;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;212;Ecoles primaires;012;Ch.de pers., frais ass.;100452;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;70328;Autres droits de stationnement et de location;524;Autres services;70;Prod. des services;600;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;024;Fêtes et cérémonies;012;Ch.de pers., frais ass.;44585;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;510;Services communs;012;Ch.de pers., frais ass.;18363;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6135;Locations mobilières;213;Classes regroupées;011;Ch. à caract. gén.;909000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;814;Eclairage public;012;Ch.de pers., frais ass.;148916;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;831;Aménagement des eaux;012;Ch.de pers., frais ass.;53140;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;76;Produits financiers;7688;Produits financiers autres;01;Opération non ventilable;76;Prod. financ.;20000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6247;Transports collectifs;415;Manifestations sportives;011;Ch. à caract. gén.;422000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64112;NBI, supplément famillial de traitement et indemnité de résidence;40;Services communs;012;Ch.de pers., frais ass.;416009;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;616;Primes d'assurance;412;Stades;011;Ch. à caract. gén.;0;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;510;Services communs;012;Ch.de pers., frais ass.;601458;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;522;Actions en faveur de l'enfance et de l'adolescence;012;Ch.de pers., frais ass.;149647;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6457;Cotisations sociales liées à l'apprentissage;33;Action culturelle;012;Ch.de pers., frais ass.;97;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6238;Divers;824;Autres opérations d'aménagement urbain;011;Ch. à caract. gén.;450;0
Budget principal VT;Recette;Réel;Investissement;M14V;13;Subventions d'investissement (reçues);1327;Subventions d'équipement non transférables - Budget communautaire et fonds structurels;823;Espaces verts urbains;13;Subventions;0;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;21578;Autre matériel et outillage de voirie;024;Fêtes et cérémonies;21;Immob. corporelles;0;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;522;Actions en faveur de l'enfance et de l'adolescence;21;Immob. corporelles;10000;0
Pompes Funèbres;Recette;Ordre;Investissement;M4x;040;Opérations d'ordre de transfert entre sections;28154;Amortissements des immobilisations corporelles - Matériel industriel;28154;Amortissements des immobilisations corporelles - Matériel industriel;28;;554;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;65738;Subventions de fonctionnement aux autres organismes publics;64;Crèches et garderies;65;Autres ch d'activité;433614;0
Théâtre Orchestre du Capitole;Dépense;Réel;Fonctionnement;M14;011;Charges à caractère général;6282;Frais de gardiennage (églises, forêts et bois communaux...);313;Théâtres;011;Ch. à caract. gén.;167500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6226;Honoraires;824;Autres opérations d'aménagement urbain;011;Ch. à caract. gén.;56402;0
Budget principal VT;Recette;Réel;Investissement;M14V;024;Produits des cessions d'immobilisations (recettes);24;Produits des cessions d'immobilisations;020;Administration générale de la collectivité;024;;9519406;0
Budget principal VT;Recette;Réel;Investissement;M14V;16;Emprunts et dettes assimilées;166;Refinancement de la dette;01;Opération non ventilable;16;Empr. et dettes ass.;9700000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2161;Oeuvres et objets d'art;322;Musées;21;Immob. corporelles;512500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6261;Frais d'affranchissement;322;Musées;011;Ch. à caract. gén.;15850;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6331;Versement de transport;30;Services communs;012;Ch.de pers., frais ass.;19842;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6068;Autres matières et fournitures;422;Autres activités pour les jeunes;011;Ch. à caract. gén.;56020;0
Budget principal VT;Recette;Ordre;Investissement;M14V;040;Opérations d'ordre de transfert entre sections;281568;Amortissements d'autre matériel et outillage d'incendie et de défense civile;01;Opération non ventilable;28;Amort. des immobilisations;20651;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;21312;Bâtiments scolaires;213;Classes regroupées;21;Immob. corporelles;11207400;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;627;Services bancaires et assimilés;026;Cimetières et pompes funèbres;011;Ch. à caract. gén.;100;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;60632;Fournitures de petit équipement;822;Voirie communale et routes;011;Ch. à caract. gén.;4550;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;611;Contrats de prestations de services;822;Voirie communale et routes;011;Ch. à caract. gén.;5361500;0
Budget principal VT;Dépense;Réel;Investissement;M14V;20;Immobilisations incorporelles;2031;Frais d'études;831;Aménagement des eaux;20;Immob. incorporelles;17000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;204;Subventions d'équipement versées;20421;Subventions d'équipement versées aux personnes de droit privé - Biens mobiliers, matériel et études;33;Action culturelle;204;;285000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6241;Transports de biens;311;Expression musicale, lyrique et chorégraphique;011;Ch. à caract. gén.;1200;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;6574;Subventions de fonctionnement aux associations et autres personnes droit privé;313;Théâtres;65;Autres ch d'activité;10200;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;60612;Energie - Electricité;814;Eclairage public;011;Ch. à caract. gén.;4494150;0
Budget principal VT;Dépense;Réel;Investissement;M14V;23;Immobilisations en cours;2313;Constructions en cours;411;Salles de sports, gymnases;23;Travaux en cours;234358;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;510;Services communs;012;Ch.de pers., frais ass.;191317;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;01;Opérations non ventilables;21;Immob. corporelles;50000;0
