Entité financire programme;Nature AP/EPCP;Type mouvement;Section;Nomenclature comptable;Code chapitre;Libellé chapitre;Code article;Libellé article;Code présentation croisée;Libellé présentation croisée;Chapitre par nature;Libellé par nature;Mt CP Voté BP;Mt CP ICNE BP
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6332;Cotisations versées au F.N.A.L.;421;Centres de loisirs;012;Ch.de pers., frais ass.;15084;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;510;Services communs;012;Ch.de pers., frais ass.;569307;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;212;Ecoles primaires;012;Ch.de pers., frais ass.;100578;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;831;Aménagement des eaux;012;Ch.de pers., frais ass.;55605;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2184;Mobilier;824;Autres opérations d'aménagement urbain;21;Immob. corporelles;0;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2138;Autres constructions;422;Autres activités pour les jeunes;21;Immob. corporelles;537000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64111;Personnel titulaire - Rémunération principale;30;Services communs;012;Ch.de pers., frais ass.;850310;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;62878;Remboursements de frais  d'autres organismes;020;Administration générale de la collectivité;011;Ch.  caract. gén.;130720;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6236;Catalogues et imprimés;64;Crches et garderies;011;Ch.  caract. gén.;13480;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6247;Transports collectifs;415;Manifestations sportives;011;Ch.  caract. gén.;415108;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;60623;Alimentation;415;Manifestations sportives;011;Ch.  caract. gén.;36200;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2158;Autres installations, matériel et outillage technique;020;Administration générale de la collectivité;21;Immob. corporelles;1020000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6068;Autres matires et fournitures;510;Services communs;011;Ch.  caract. gén.;245580;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6282;Frais de gardiennage (églises, forts et bois communaux...);415;Manifestations sportives;011;Ch.  caract. gén.;350000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64118;Autres indemnités;522;Actions en faveur de l'enfance et de l'adolescence;012;Ch.de pers., frais ass.;79866;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;110;Services communs;012;Ch.de pers., frais ass.;23278;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6417;Rémunération des apprentis;322;Musées;012;Ch.de pers., frais ass.;18018;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6331;Versement de transport;022;Administration générale de l'Etat;012;Ch.de pers., frais ass.;42248;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;255;Classes de découverte et autres services annexes de l'enseignement;012;Ch.de pers., frais ass.;249044;0
