X_LONG;Y_LAT;Geo Shape;ID;NOM;ADRESSE;NB_JEUX
43,6053025485;1,42959546869;"{""type"": ""Point"", ""coordinates"": [1,429595468692456, 43,60530254854318]}";0005;BAZACLE 2;Allée du Niger;3
43,6486196573;1,43188582865;"{""type"": ""Point"", ""coordinates"": [1,431885828649539, 43,64861965727325]}";0034;PAUL RICHE;Place Paul Riche;2
43,5794383525;1,4298758559;"{""type"": ""Point"", ""coordinates"": [1,429875855900611, 43,579438352473375]}";0081;ILE DU RAMIER;Chemin de la Loge;6
43,5740991045;1,41835400444;"{""type"": ""Point"", ""coordinates"": [1,41835400443933, 43,57409910453513]}";0087;MERLETTES;Allée de Guyenne;5
43,5739461995;1,45285176411;"{""type"": ""Point"", ""coordinates"": [1,452851764109252, 43,573946199487324]}";0124;JULES JULIEN THEATRE;Rue des Ecoles;4
43,5869987465;1,48200442625;"{""type"": ""Point"", ""coordinates"": [1,482004426248936, 43,58699874654162]}";0129;MONT  AIGUAL;Rue du Mont Aigual;1
43,6057201344;1,42566128863;"{""type"": ""Point"", ""coordinates"": [1,425661288629083, 43,60572013436998]}";0009;BAZACLE 1;Impasse du Ramier des Catalans;10
43,6126763406;1,43251484313;"{""type"": ""Point"", ""coordinates"": [1,432514843132676, 43,612676340643546]}";0012;COMPANS;Esplanade Compans Caffarelli;12
43,6091742949;1,43786480313;"{""type"": ""Point"", ""coordinates"": [1,437864803128903, 43,60917429486409]}";0016;EMBARTHE;Rue d'Embarthe;7
43,6260310934;1,46829541892;"{""type"": ""Point"", ""coordinates"": [1,468295418924905, 43,626031093394815]}";0029;MICHOUN;70 Chemin Michoun;9
43,6417163766;1,44168380202;"{""type"": ""Point"", ""coordinates"": [1,441683802021621, 43,641716376582096]}";0039;RIGAL;Rue Raphaël;4
43,6239589106;1,46823533181;"{""type"": ""Point"", ""coordinates"": [1,468235331805134, 43,62395891060031]}";0040;ROSINE BET;Place Rosine Bet;5
43,6107866162;1,46097780373;"{""type"": ""Point"", ""coordinates"": [1,460977803726772, 43,61078661615188]}";0046;VILLA MERICANT;Rue Calvet;6
43,5883402533;1,38520739177;"{""type"": ""Point"", ""coordinates"": [1,385207391771924, 43,58834025330345]}";0048;ALEMBERT;Rue Jean d'Alembert;2
43,5603976409;1,3970369147;"{""type"": ""Point"", ""coordinates"": [1,39703691469552, 43,56039764090131]}";0057;DOTTIN;Rue du Recteur Dottin;4
43,5850248711;1,42235498373;"{""type"": ""Point"", ""coordinates"": [1,422354983732484, 43,585024871118485]}";0072;FONTAINES LESTANG;Rue d'Auch;5
43,5839749654;1,40902983553;"{""type"": ""Point"", ""coordinates"": [1,409029835528855, 43,58397496539471]}";0077;GIRONDE;Rue de la Gironde;4
43,5901642434;1,41051183906;"{""type"": ""Point"", ""coordinates"": [1,410511839061036, 43,590164243419935]}";0080;HIPPODROME CEPIERE;Impasse de l'Hippodrome;5
43,5825766215;1,40866461646;"{""type"": ""Point"", ""coordinates"": [1,408664616460037, 43,5825766214973]}";0090;ORNE;Rue de l'Orne;5
43,5612387866;1,39767229974;"{""type"": ""Point"", ""coordinates"": [1,397672299741088, 43,56123878663859]}";0055;TINTORET;Cheminement le Tintoret;5
43,58180897;1,44258144519;"{""type"": ""Point"", ""coordinates"": [1,442581445192476, 43,581808969966616]}";0116;DASTE BAT 17;Rue d'Antibes;3
43,578404265;1,43882173344;"{""type"": ""Point"", ""coordinates"": [1,438821733437086, 43,57840426499242]}";0119;EMPALOT MAIL;Rue de Draguignan;5
43,5704709163;1,44833526074;"{""type"": ""Point"", ""coordinates"": [1,448335260736086, 43,57047091626613]}";0125;LE FRANC DE POMPIGNAN;Rue Lefranc de Pompignan;5
43,5884884217;1,44147796796;"{""type"": ""Point"", ""coordinates"": [1,441477967962567, 43,588488421708846]}";0131;PAYS D'OC;Rue François Longaud;8
43,5948305558;1,44197349516;"{""type"": ""Point"", ""coordinates"": [1,441973495161282, 43,5948305557592]}";0135;PORT-GARAUD;Rue du Moulin du Château;4
43,5834677971;1,46976352913;"{""type"": ""Point"", ""coordinates"": [1,469763529127701, 43,58346779714217]}";0141;SAINT-EXUPERY;130 Avenue Antoine de Saint Ex;4
43,6032198763;1,44963152946;"{""type"": ""Point"", ""coordinates"": [1,449631529464809, 43,60321987626528]}";0153;PLACE  OCCITANE;PLACE  OCCITANE;5
43,5796382523;1,45909866629;"{""type"": ""Point"", ""coordinates"": [1,459098666290146, 43,579638252267515]}";0155;SAOUZELONG;AVENUE ALBERT BEDOUCE;3
43,5806099254;1,41589991822;"{""type"": ""Point"", ""coordinates"": [1,415899918223738, 43,580609925429]}";0164;LA FAOURETTE;RUE DE L'UKRAINE;4
43,6351575953;1,45105761418;"{""type"": ""Point"", ""coordinates"": [1,45105761417874, 43,63515759528561]}";0170;JARDIN DE GAVE;Rue Guetary;3
43,6083519301;1,45101105497;"{""type"": ""Point"", ""coordinates"": [1,451011054968104, 43,6083519300558]}";0176;CASTELET;PLACE BELFORT;2
43,6222972879;1,4774591186;"{""type"": ""Point"", ""coordinates"": [1,477459118595378, 43,622297287917654]}";0180;ARGOULETS  TENNIS;Rue de Rabastens;3
43,5807538648;1,46194992771;"{""type"": ""Point"", ""coordinates"": [1,461949927710607, 43,58075386481341]}";0177;BEDOUCE;Avenue Bedouce;2
43,5631177336;1,4136086301;"{""type"": ""Point"", ""coordinates"": [1,413608630101739, 43,563117733617766]}";0197;GIRONIS  PARCOURS SPORTIF;Rue de Gironis;2
43,5503372209;1,38616025846;"{""type"": ""Point"", ""coordinates"": [1,386160258457821, 43,550337220896395]}";0201;TIBAOUS;PLACE DES TIBAOUS;4
43,5866021435;1,38125219369;"{""type"": ""Point"", ""coordinates"": [1,381252193690372, 43,58660214352588]}";0210;CATALA;rue jean cocteau;3
43,5809897959;1,41534349223;"{""type"": ""Point"", ""coordinates"": [1,41534349223138, 43,580989795860475]}";0215;LA FAOURETTE 2;RUE DE L'UKRAINE;3
43,5759719768;1,43767039896;"{""type"": ""Point"", ""coordinates"": [1,437670398955062, 43,575971976839995]}";0219;PARC  POUDRERIE;Impasse des Hérons;3
43,5806497195;1,41174853654;"{""type"": ""Point"", ""coordinates"": [1,41174853654379, 43,580649719529866]}";0083;LA MARTINIQUE;Rue de la Martinique;3
43,5618990916;1,39601511959;"{""type"": ""Point"", ""coordinates"": [1,396015119588502, 43,561899091584024]}";0220;CANDELIS;rue Teboul;9
43,6394974661;1,45344608855;"{""type"": ""Point"", ""coordinates"": [1,453446088549613, 43,63949746614677]}";0224;BORDEROUGE;Rue  BERTRAN;0
43,6288942074;1,44964932423;"{""type"": ""Point"", ""coordinates"": [1,449649324230089, 43,62889420736502]}";0149;FROIDURE;Place Antonin Froidure;2
43,6174520843;1,40642023022;"{""type"": ""Point"", ""coordinates"": [1,406420230220451, 43,617452084315765]}";0033;PARC JOB;Chemin de la Garonne;4
43,6361517134;1,46159142313;"{""type"": ""Point"", ""coordinates"": [1,461591423130029, 43,636151713384415]}";0037;RAMELET;Rue Francis Lopez;4
43,598420073;1,38916150446;"{""type"": ""Point"", ""coordinates"": [1,389161504455768, 43,598420072964295]}";0050;BALUFFET;Rue des Muses;4
43,5943702738;1,40806865116;"{""type"": ""Point"", ""coordinates"": [1,408068651161695, 43,594370273765506]}";0102;BERGOUGNAN;Avenue de Lombez;7
43,5698607078;1,40084726428;"{""type"": ""Point"", ""coordinates"": [1,400847264275213, 43,56986070783526]}";0068;DOUVES;Avenue Winston Churchill;13
43,6018207904;1,37035266558;"{""type"": ""Point"", ""coordinates"": [1,37035266557641, 43,601820790429265]}";0070;GRIMAUD;Rue Marie Louise Dissart;4
43,5938766402;1,43588787347;"{""type"": ""Point"", ""coordinates"": [1,435887873474836, 43,59387664018783]}";0095;PRAIRIE DES FILTRES;Rue Laganne;11
43,5811470601;1,49203178417;"{""type"": ""Point"", ""coordinates"": [1,492031784169366, 43,58114706013686]}";0142;SARABELLE;Impasse Pierre Maurand;3
43,631318113;1,46384166881;"{""type"": ""Point"", ""coordinates"": [1,463841668806012, 43,63131811303287]}";0004;AVRANCHES;Rue d'Avranches;4
43,6132304415;1,42597535167;"{""type"": ""Point"", ""coordinates"": [1,425975351672733, 43,61323044146622]}";0006;BEARNAIS;Impasse Roland Garros;4
43,6419976483;1,46195886379;"{""type"": ""Point"", ""coordinates"": [1,461958863791285, 43,64199764831557]}";0015;EBELOT;Rue Henri Ebelot;4
43,6361453984;1,44283040732;"{""type"": ""Point"", ""coordinates"": [1,442830407317944, 43,636145398388734]}";0017;ERNEST RENAN;Chemin d'Audibert;6
43,6358671671;1,43195306804;"{""type"": ""Point"", ""coordinates"": [1,431953068040241, 43,63586716711639]}";0020;FERDINAND FAURE;Place Ferdinand Faure;3
43,615951411;1,45453583194;"{""type"": ""Point"", ""coordinates"": [1,454535831940414, 43,615951410987705]}";0028;MICHELET;Rue Saint Laurent;6
43,6184787191;1,46526549211;"{""type"": ""Point"", ""coordinates"": [1,465265492112353, 43,61847871906335]}";0035;PIERRE ROUS;Rue de Périole;6
43,6137486759;1,41697169367;"{""type"": ""Point"", ""coordinates"": [1,416971693672688, 43,613748675886484]}";0036;PONTS JUMEAUX;Rue Jean Gayral;5
