X_LONG;Y_LAT;Geo Shape;index;type_petanque;ID
43,6236590022;1,46079600071;"{""type"": ""Point"", ""coordinates"": [1.46079600070844, 43,62365900222877]}";Périole;N;1
43,615493998;1,45589800362;"{""type"": ""Point"", ""coordinates"": [1.455898003623365, 43,615493997950445]}";Bonnefoy;N;2
43,629288999;1,44978499588;"{""type"": ""Point"", ""coordinates"": [1.449784995880435, 43,62928899895304]}";Borderouge;N;3
43,6126210024;1,46351399823;"{""type"": ""Point"", ""coordinates"": [1.463513998234424, 43,61262100235626]}";Jolimont;N;4
43,6176059979;1,46259300049;"{""type"": ""Point"", ""coordinates"": [1.462593000487738, 43,617605997860345]}";Rex;N;5
43,6105909989;1,47940199857;"{""type"": ""Point"", ""coordinates"": [1.479401998573874, 43,61059099894522]}";Soupetard (3);N;6
43,6010680013;1,42808200262;"{""type"": ""Point"", ""coordinates"": [1.428082002620195, 43,60106800133859]}";Bourrassol;N;7
43,5752390026;1,40941200237;"{""type"": ""Point"", ""coordinates"": [1.40941200236862, 43,57523900263367]}";Papus;N;8
43,5990219984;1,42858900134;"{""type"": ""Point"", ""coordinates"": [1.428589001338823, 43,59902199839818]}";Ravelin;N;9
43,5647819996;1,40293099925;"{""type"": ""Point"", ""coordinates"": [1.402930999253167, 43,56478199962748]}";Rouault Georges;N;10
43,5756940002;1,48509199985;"{""type"": ""Point"", ""coordinates"": [1.485091999849258, 43,5756940002195]}";De Naîd Jean;N;11
43,5788189978;1,43912900344;"{""type"": ""Point"", ""coordinates"": [1.439129003442818, 43,578818997796056]}";Empalot Mail;N;12
43,5747159996;1,46560400331;"{""type"": ""Point"", ""coordinates"": [1.465604003311268, 43,57471599960825]}";Rangueil;N;13
43,574731997;1,45242600416;"{""type"": ""Point"", ""coordinates"": [1.452426004163127, 43,574731997030746]}";Roux Etienne;N;14
43,6543289981;1,4182740004;"{""type"": ""Point"", ""coordinates"": [1.418274000399754, 43,654328998137736]}";Sesquières;N;15
43,6290953789;1,46748176068;"{""type"": ""Point"", ""coordinates"": [1.467481760682776, 43,62909537888883]}";Amouroux;O/N;16
43,6085270027;1,4600100042;"{""type"": ""Point"", ""coordinates"": [1.46001000420373, 43,608527002671636]}";François Carbonne;N;17
43,6362179982;1,46309999896;"{""type"": ""Point"", ""coordinates"": [1.46309999895923, 43,63621799816873]}";Castillo Michel;N;18
43,6078630004;1,42775400073;"{""type"": ""Point"", ""coordinates"": [1.42775400073055, 43,60786300039486]}";Héraclès;N;19
43,6477259971;1,43272199584;"{""type"": ""Point"", ""coordinates"": [1.432721995842402, 43,64772599705307]}";Paul Riché;N;20
43,6074039988;1,46824200137;"{""type"": ""Point"", ""coordinates"": [1.46824200137055, 43,607403998780946]}";Salonique;N;21
43,6092260055;1,41530648199;"{""type"": ""Point"", ""coordinates"": [1.415306481985801, 43,6092260055077]}";Tracassin;N;22
43,5987909974;1,4010829964;"{""type"": ""Point"", ""coordinates"": [1.401082996399065, 43,59879099740101]}";Jardin du Barry;O;23
43,5852229976;1,42126099913;"{""type"": ""Point"", ""coordinates"": [1.42126099912521, 43,58522299758786]}";Fontaine Lestang;N;24
43,5788010008;1,41587799934;"{""type"": ""Point"", ""coordinates"": [1.415877999342782, 43,578801000754446]}";La Boule Joyeuse;N;25
43,596478524;1,42712298968;"{""type"": ""Point"", ""coordinates"": [1.427122989675346, 43,596478524030644]}";Roguet;N;26
43,5828209079;1,44083370959;"{""type"": ""Point"", ""coordinates"": [1.440833709588361, 43,582820907853474]}";Recollets Daste;N;27
43,5943510019;1,45264400349;"{""type"": ""Point"", ""coordinates"": [1.452644003494385, 43,59435100193342]}";Grand Rond;N;28
43,5836269991;1,47779600326;"{""type"": ""Point"", ""coordinates"": [1.477796003256398, 43,58362699905987]}";Lafont Emile;N;29
43,5568706969;1,38204149681;"{""type"": ""Point"", ""coordinates"": [1.382041496808274, 43,55687069688794]}";Jean Daniel - Saint Simon;O/N;30
43,5598339978;1,39620999641;"{""type"": ""Point"", ""coordinates"": [1.396209996405937, 43,55983399782369]}";Tintoret;N;31
43,5979139965;1,43713400315;"{""type"": ""Point"", ""coordinates"": [1.437134003153578, 43,597913996521974]}";Cours Dillon;N;32
43,5942119994;1,43565900089;"{""type"": ""Point"", ""coordinates"": [1.435659000892039, 43,59421199938126]}";Cazabonne;N;33
43,5785200014;1,46321999904;"{""type"": ""Point"", ""coordinates"": [1.463219999043168, 43,578520001421275]}";Saouzelong (argent R3);N;34
43,6389159991;1,44197099569;"{""type"": ""Point"", ""coordinates"": [1.441970995689379, 43,63891599906748]}";Izards - Marius Hebra;O;35
43,6425989987;1,44155100137;"{""type"": ""Point"", ""coordinates"": [1.441551001367208, 43,64259899872548]}";Rigal;N;36
43,625406002;1,43438599583;"{""type"": ""Point"", ""coordinates"": [1.434385995827203, 43,625406002011545]}";Arnaune (Michel Rauzy);N;37
43,5882279986;1,38471399589;"{""type"": ""Point"", ""coordinates"": [1.384713995887333, 43,588227998638196]}";Alembert;N;38
43,6197113425;1,40054193849;"{""type"": ""Point"", ""coordinates"": [1.400541938494843, 43,61971134251172]}";Ancely;N;39
43,6048950011;1,40959799954;"{""type"": ""Point"", ""coordinates"": [1.409597999542541, 43,604895001113434]}";Casselardit;N;40
43,5786399995;1,41580000084;"{""type"": ""Point"", ""coordinates"": [1.415800000840202, 43,57863999947784]}";La Boule d'Or;N;41
43,5780569973;1,38447699616;"{""type"": ""Point"", ""coordinates"": [1.384476996155717, 43,57805699731383]}";Pradettes;N;42
43,5811130094;1,46951682652;"{""type"": ""Point"", ""coordinates"": [1.469516826522564, 43,58111300940478]}";La Butte;N;43
43,5873090001;1,46306099994;"{""type"": ""Point"", ""coordinates"": [1.463060999936609, 43,587309000069375]}";Pont des Demoiselles;N;44
43,5945559982;1,442001996;"{""type"": ""Point"", ""coordinates"": [1.442001996001339, 43,594555998169504]}";Port Garaud Cité;N;45
