X_LONG;Y_LAT;Geo Shape;EQ_NOM_EQUIPEMENT;EQ_GESTIONNAIRE;EQ_HORAIRES;EQ_SITE_WEB;EQ_TELEPHONE;EQ_ACCES_METRO;EQ_ACCES_BUS;NUMERO;LIB_OFF;ID_SECTEUR_POSTAL;EQ_VILLE;EQ_SECTEUR;EQ_QUARTIER;ID
43,6142441507;1,47465189762;"{""type"": ""Point"", ""coordinates"": [1.474651897622263, 43,61424415069264]}";CENTRE D'ANIMATION SOUPETARD;Mairie de Toulouse - DGA Culture;;www.toulouse.fr;05 31 22 99 70;Jolimont, Roseraie (A);19, 37 Arrêt Dinetard;63;CHE DE HEREDIA;31500;TOULOUSE;4;4.2;1
43,6106686913;1,44146279301;"{""type"": ""Point"", ""coordinates"": [1.441462793011977, 43,61066869126709]}";MAISON DE QUARTIER ESCOUSSIERES ARNAUD-BERNARD;Association;;;;;;3;RUE ESCOUSSIERES A BERNARD;31000;TOULOUSE;1;1,1;2
43,5871492541;1,41657501108;"{""type"": ""Point"", ""coordinates"": [1.416575011077641, 43,58714925405944]}";MAISON DE QUARTIER FONTAINE-LESTANG;Association;;www.toulouse.fr;05 61 76 18 76;Bagatelle (A);3;59;RUE VESTREPAIN;31100;TOULOUSE;2;2.3;3
43,5856184022;1,46593002825;"{""type"": ""Point"", ""coordinates"": [1.465930028252787, 43,58561840217492]}";MJC PONT DES DEMOISELLES;Association;;www.toulouse.fr;05 61 52 24 33;;10;0063B;AV ANTOINE DE ST EXUPERY;31400;TOULOUSE;5;5.1;4
43,6168524032;1,40835736016;"{""type"": ""Point"", ""coordinates"": [1.408357360161728, 43,616852403168835]}";ESPACE JOB;Mairie de Toulouse - DGA Culture;;www.cultures.toulouse.fr;05 34 43 24 91;;16, 70;105;RTE DE BLAGNAC;31200;TOULOUSE;3;3.2;5
43,6265640697;1,46820948725;"{""type"": ""Point"", ""coordinates"": [1.468209487252963, 43,62656406973787]}";MAISON DE QUARTIER AMOUROUX;Mairie de Toulouse - DGA Culture;;www.toulouse.fr;05 61 48 36 64;Roseraie (A);19;70;CHE MICHOUN;31500;TOULOUSE;4;4.1;6
43,6190285178;1,40100204141;"{""type"": ""Point"", ""coordinates"": [1.401002041411882, 43,61902851782482]}";MJC ANCELY;Association;;www.toulouse.fr;05 61 49 05 74;Ancely (T1);66, 70;7;ALL DES CAUSSES;31300;TOULOUSE;6;6.1;7
43,5773850259;1,43865928815;"{""type"": ""Point"", ""coordinates"": [1.438659288147084, 43,57738502590217]}";MJC EMPALOT;Association;;www.toulouse.fr;05 61 52 40 13;Empalot (B);12, 34, 52;30;ALL HENRI SELLIER;31400;TOULOUSE;5;5.3;8
43,5894738831;1,47974179746;"{""type"": ""Point"", ""coordinates"": [1.47974179746311, 43,58947388313155]}";SALLE DES FETES DE LIMAYRAC;Mairie de Toulouse - DGA Culture;;http://www.val-de-limayrac.info/info-limayrac/activites-salle.php;05 61 54 23 60;;23;22;RUE XAVIER DARASSE;31500;TOULOUSE;4;4.3;9
43,574060423;1,48511547654;"{""type"": ""Point"", ""coordinates"": [1.485115476540925, 43,57406042298154]}";CENTRE D'ANIMATION MONTAUDRAN;Association;;www.toulouse.fr;05 61 54 25 19;;10, 22;3;IMP GASTON GENIN;31400;TOULOUSE;5;5.1;10
43,5961643226;1,4273901705;"{""type"": ""Point"", ""coordinates"": [1.427390170500713, 43,59616432258308]}";ESPACE ROGUET - MJC ROGUET;Autre institution publique;;www.haute-garonne.fr;05 62 86 01 67;Saint-Cyprien-République, Patte d'Oie (A);14, 45, 66 (Arrêt Roguet);9;RUE DE GASCOGNE;31300;TOULOUSE;2;2.1;11
43,5504020121;1,45050090606;"{""type"": ""Point"", ""coordinates"": [1.450500906064249, 43,5504020120729]}";MAISON DE QUARTIER DE POUVOURVILLE;Association;;;;;;4;IMP DE SARRANGINES;31400;TOULOUSE;5;5.2;12
43,6337730244;1,43579091023;"{""type"": ""Point"", ""coordinates"": [1.43579091023181, 43,63377302441804]}";MAISON DE QUARTIER LA VACHE;Mairie de Toulouse - DGA Culture;;www.toulouse.fr;05 61 47 37 55;;29;6;RUE MARGUERITE DURAS;31200;TOULOUSE;3;3.1;13
