X_LONG;Y_LAT;Geo Shape;site;module;fonctions;commune;ID
43,6049449973;1,43067699853;"{""type"": ""Point"", ""coordinates"": [1.430676998525209, 43,60494499734105]}";LES AMIDONNIERS;MARCHEUR;CARDIO TRAINING;TOULOUSE;1
43,6057500016;1,42721700041;"{""type"": ""Point"", ""coordinates"": [1.427217000414516, 43,60575000158692]}";LES AMIDONNIERS;PARAPENTE DOUBLE;STRETCHING;TOULOUSE;2
43,6055880014;1,42595099594;"{""type"": ""Point"", ""coordinates"": [1.425950995938472, 43,60558800143687]}";LES AMIDONNIERS;PUMPER;MUSCULATION;TOULOUSE;3
43,5890899976;1,44005099657;"{""type"": ""Point"", ""coordinates"": [1.440050996571518, 43,58908999764055]}";LES BERGES DE GARONNE;VELO;CARDIO TRAINING;TOULOUSE;4
43,621499999;1,47719999606;"{""type"": ""Point"", ""coordinates"": [1.477199996060363, 43,621499999041056]}";LES ARGOULETS;DUO BARRE PARALLELES;MUSCULATION;TOULOUSE;5
43,6222999997;1,47959999748;"{""type"": ""Point"", ""coordinates"": [1.479599997480554, 43,622299999716404]}";LES ARGOULETS;DEMI CYLINDRE;STRETCHING;TOULOUSE;6
43,6224;1,48010000199;"{""type"": ""Point"", ""coordinates"": [1.480100001986945, 43,62239999998511]}";LES ARGOULETS;TWISTER DEBOUT DOUBLE;STRETCHING;TOULOUSE;7
43,606021003;1,42205600244;"{""type"": ""Point"", ""coordinates"": [1.422056002436574, 43,60602100298785]}";LES AMIDONNIERS;DUO TOURNIQUET TRACTION;PMR;TOULOUSE;8
43,5889840011;1,44014000263;"{""type"": ""Point"", ""coordinates"": [1.440140002626602, 43,58898400111615]}";LES BERGES DE GARONNE;DUO PORTEUR POUSSEUR;PMR;TOULOUSE;9
43,5874679997;1,43922300262;"{""type"": ""Point"", ""coordinates"": [1.439223002620429, 43,58746799971161]}";LES BERGES DE GARONNE;CAVALIER;CARDIO TRAINING;TOULOUSE;10
43,5847340007;1,43916299796;"{""type"": ""Point"", ""coordinates"": [1.439162997955477, 43,58473400066364]}";LES BERGES DE GARONNE;DUO TOURNIQUET TRACTION;PMR;TOULOUSE;11
43,6205000023;1,47790000135;"{""type"": ""Point"", ""coordinates"": [1.477900001345148, 43,62050000226779]}";LES ARGOULETS;DUO PARAPENTE;STRETCHING;TOULOUSE;12
43,584463999;1,43892700211;"{""type"": ""Point"", ""coordinates"": [1.43892700211192, 43,58446399899718]}";LES BERGES DE GARONNE;STEPPEUR TWISTER;CARDIO TRAINING;TOULOUSE;13
43,5802809987;1,43719600182;"{""type"": ""Point"", ""coordinates"": [1.437196001821344, 43,58028099867871]}";LES BERGES DE GARONNE;DEMI CYLINDRE;STRETCHING;TOULOUSE;14
43,6049580029;1,43066299715;"{""type"": ""Point"", ""coordinates"": [1.43066299714758, 43,604958002934936]}";LES AMIDONNIERS;VELO ELLIPTIQUE;CARDIO TRAINING;TOULOUSE;15
